"AnimalID","DOB","Natal","Group","NatalGroup","From","To","Duration","Age_From","Age_To","GroupCount","ImmigrationCount","Group_From","Group_To","Away_Period","GroupCount_DB_SeqMiss"
"Aaalva",2019-11-01,"Yes","KB","Yes",2019-11-01,2022-11-17,1112,0,3.05,1,0,NA,NA,NA,NA
"Aalwyn",2018-11-27,"Yes","BD","Yes",2018-11-27,2022-11-17,1451,0,3.98,1,0,NA,NA,NA,NA
"Aantreklik",2017-10-17,"Yes","BD","Yes",2017-10-17,2022-11-17,1857,0,5.1,1,0,NA,NA,NA,NA
"Aarhus",2017-10-09,"Yes","KB","Yes",2017-10-09,2022-11-17,1865,0,5.12,1,0,NA,NA,NA,NA
"Adam",NA,"No","LT","No",2014-08-14,2016-11-14,823,NA,NA,2,1,NA,NA,NA,NA
"Adder",2015-11-23,"Yes","BD","Yes",2015-11-23,2021-10-04,2142,0,5.88,1,0,NA,NA,NA,NA
"Adonis",NA,"No","BD","No",2010-11-09,2011-02-08,91,NA,NA,2,1,NA,NA,NA,NA
"Afrikaans",2010-10-19,"Yes","BD","Yes",2010-10-19,2015-06-25,1710,0,4.69,1,0,NA,"AK",NA,NA
"Afrikaans",2010-10-19,"Yes","AK","No",2015-06-29,2016-02-16,232,4.71,5.34,2,1,"BD",NA,4,"No"
"Ahekinkinga",NA,"No","AK","No",2010-12-18,2012-02-24,433,NA,NA,2,1,NA,NA,NA,NA
"Akkedis",2011-11-07,"Yes","BD","Yes",2011-11-07,2016-05-28,1664,0,4.57,1,0,NA,"CR",NA,NA
"Amgoun",2017-10-09,"Yes","KB","Yes",2017-10-09,2019-02-27,506,0,1.39,1,0,NA,NA,NA,NA
"Andrew",NA,"Yes","LT","Yes",2013-02-09,2014-04-12,427,NA,NA,1,0,NA,NA,NA,NA
"Appel",2020-11-04,"Yes","BD","Yes",2020-11-04,2022-11-17,743,0,2.04,1,0,NA,NA,NA,NA
"Ardig",2018-11-15,"Yes","BD","Yes",2018-11-15,2020-10-01,686,0,1.88,1,0,NA,NA,NA,NA
"Arno",2014-10-17,"Yes","KB","Yes",2014-10-17,2019-05-13,1669,0,4.58,1,0,NA,NA,NA,NA
"Arthur",NA,"No","LT","No",2011-11-03,2012-02-14,103,NA,NA,2,1,NA,"AK",NA,NA
"Arthur",NA,"No","AK","No",2012-04-19,2012-04-30,11,NA,NA,3,2,"LT","BD",65,"No"
"Arthur",NA,"No","BD","No",2012-07-25,2014-05-20,664,NA,NA,4,3,"AK",NA,86,"No"
"Asseblief",2014-11-05,"Yes","BD","Yes",2014-11-05,2019-05-30,1667,0,4.58,1,0,NA,"CR",NA,NA
"Athabasca",2018-10-26,"Yes","KB","Yes",2018-10-26,2022-11-17,1483,0,4.07,1,0,NA,NA,NA,NA
"Atitlan",NA,"No","KB","No",2015-04-28,2016-01-25,272,NA,NA,2,1,NA,"AK",NA,NA
"Atitlan",NA,"No","AK","No",2016-03-03,2020-02-25,1454,NA,NA,3,2,"KB",NA,38,"No"
"Auckland",NA,"No","NH","No",2012-02-27,2014-09-25,941,NA,NA,2,1,NA,NA,NA,NA
"Avon",2013-11-11,"Yes","KB","Yes",2013-11-11,2018-04-06,1607,0,4.41,1,0,NA,"NH",NA,NA
"Avon",2013-11-11,"Yes","NH","No",2018-05-14,2018-06-12,29,4.52,4.6,2,1,"KB","Ifamily",38,"No"
"Awash",2020-11-03,"Yes","KB","Yes",2020-11-03,2022-11-17,744,0,2.04,1,0,NA,NA,NA,NA
"Babelas",NA,"Yes","BD","Yes",2010-11-09,2014-05-15,1283,NA,NA,1,0,NA,"NH",NA,NA
"Babelas",NA,"Yes","NH","No",2014-05-19,2016-04-19,701,NA,NA,2,1,"BD","LT",4,"No"
"Babelas",NA,"Yes","LT","No",2019-06-24,2021-04-07,653,NA,NA,3,2,"NH","LT",1161,"No"
"Babyaare2015",2015-11-12,"Yes","KB","Yes",2015-11-12,2016-02-13,93,0,0.26,1,0,NA,NA,NA,NA
"Babydag2012",2012-09-25,"Yes","BD","Yes",2012-09-25,2012-11-29,65,0,0.18,1,0,NA,"InBetweeners",NA,NA
"Babydiana2015",2015-11-17,"Yes","LT","Yes",2015-11-17,2016-01-19,63,0,0.17,1,0,NA,NA,NA,NA
"Babyeina2018",2018-11-13,"Yes","BD","Yes",2018-11-13,2018-11-26,13,0,0.04,1,0,NA,NA,NA,NA
"Babyemm2012",2012-10-08,"Yes","LT","Yes",2012-10-08,2013-05-22,226,0,0.62,1,0,NA,NA,NA,NA
"Babygaya2018",2018-12-24,"Yes","NH","Yes",2018-12-24,2019-01-21,28,0,0.08,1,0,NA,NA,NA,NA
"Babygaya2019",2019-10-14,"Yes","NH","Yes",2019-10-14,2019-10-26,12,0,0.03,1,0,NA,NA,NA,NA
"Babygugu2017",2017-10-31,"Yes","AK","Yes",2017-10-31,2018-01-11,72,0,0.2,1,0,NA,NA,NA,NA
"Babygugu2019",2019-11-09,"Yes","AK","Yes",2019-11-09,2020-03-04,116,0,0.32,1,0,NA,NA,NA,NA
"Babyhak2011",2011-11-22,"Yes","BD","Yes",2011-11-22,2011-12-05,13,0,0.04,1,0,NA,NA,NA,NA
"Babyheer2019",2019-10-28,"Yes","BD","Yes",2019-10-28,2020-01-28,92,0,0.25,1,0,NA,NA,NA,NA
"Babykaya2017",2017-11-04,"Yes","LT","Yes",2017-11-04,2018-02-21,109,0,0.3,1,0,NA,"LTsplit",NA,NA
"Babymara2019",2019-10-21,"Yes","KB","Yes",2019-10-21,2019-10-24,3,0,0.01,1,0,NA,NA,NA,NA
"Babynessie2019",2019-10-24,"Yes","KB","Yes",2019-10-24,2019-10-24,0,0,0,1,0,NA,NA,NA,NA
"Babyniese2014",2014-11-11,"Yes","BD","Yes",2014-11-11,2014-12-26,45,0,0.12,1,0,NA,NA,NA,NA
"Babypannekoekie2017",2017-10-12,"Yes","BD","Yes",2017-10-12,2017-12-21,70,0,0.19,1,0,NA,NA,NA,NA
"Babyredelik2019",2019-10-19,"Yes","BD","Yes",2019-10-19,2019-10-19,0,0,0,1,0,NA,NA,NA,NA
"Babyrenn2020",2020-11-22,"Yes","NH","Yes",2020-11-22,2020-12-29,37,0,0.1,1,0,NA,NA,NA,NA
"Babyreva2019",2019-10-23,"Yes","NH","Yes",2019-10-23,2019-10-26,3,0,0.01,1,0,NA,NA,NA,NA
"Babyroxanne2017",2017-10-16,"Yes","LT","Yes",2017-10-16,2018-02-19,126,0,0.35,1,0,NA,NA,NA,NA
"Babytroi2015",2015-10-22,"Yes","NH","Yes",2015-10-22,2015-12-11,50,0,0.14,1,0,NA,NA,NA,NA
"Babyupp2012",2012-10-19,"Yes","NH","Yes",2012-10-19,2012-11-03,15,0,0.04,1,0,NA,NA,NA,NA
"Babyvict2014",2014-10-28,"Yes","LT","Yes",2014-10-28,2015-01-16,80,0,0.22,1,0,NA,NA,NA,NA
"Bamako",2011-11-01,"Yes","NH","Yes",2011-11-01,2013-02-21,478,0,1.31,1,0,NA,NA,NA,NA
"Base",NA,"Yes","BD","No",2017-05-05,2021-02-19,1386,NA,NA,2,1,"CR",NA,6,"No"
"Benedict",NA,"No","LT","No",2018-06-08,2020-07-18,771,NA,NA,2,1,NA,NA,NA,NA
"Bingo",NA,"Yes","BD","Yes",2011-04-25,2015-01-15,1361,NA,NA,1,0,NA,NA,NA,NA
"Bocold",NA,"No","BD","No",2017-01-31,2019-05-04,823,NA,NA,3,2,"CR","AK",10,"No"
"Bocold",NA,"No","AK","No",2019-05-15,2019-10-30,168,NA,NA,4,3,"BD",NA,11,"No"
"Boks",NA,"No","BD","No",2010-11-09,2010-12-24,45,NA,NA,2,1,NA,NA,NA,NA
"Bongani",NA,"No","AK","No",2012-01-28,2013-04-25,453,NA,NA,2,1,NA,NA,NA,NA
"Boston",2013-10-28,"Yes","NH","Yes",2013-10-28,2018-05-23,1668,0,4.58,1,0,NA,NA,NA,NA
"Brisbane",2015-11-10,"Yes","NH","Yes",2015-11-10,2016-04-13,155,0,0.43,1,0,NA,"Iceland",NA,NA
"Bryan",NA,"No","LT","No",2011-01-16,2012-05-01,471,NA,NA,2,1,NA,NA,NA,NA
"Bullebak",2012-10-01,"Yes","BD","Yes",2012-10-01,2017-12-07,1893,0,5.2,1,0,NA,NA,NA,NA
"Byron",NA,"Yes","LT","Yes",2011-11-21,2013-10-22,701,NA,NA,1,0,NA,NA,NA,NA
"Cancun",NA,"No","NH","No",2013-06-28,2016-02-25,972,NA,NA,2,1,NA,"AK",NA,NA
"Cancun",NA,"No","AK","No",2016-03-14,2017-02-16,339,NA,NA,3,2,"NH","NH",18,"No"
"Cancun",NA,"No","NH","No",2017-05-30,2018-12-17,566,NA,NA,4,3,"AK","NH",103,"No"
"Cancun",NA,"No","NH","No",2019-06-17,2021-01-27,590,NA,NA,5,4,"NH",NA,182,"No"
"Charles",NA,"Yes","LT","Yes",2011-11-21,2013-12-09,749,NA,NA,1,0,NA,NA,NA,NA
"Chernobyl",NA,"No","NH","No",2012-04-28,2014-05-26,758,NA,NA,2,1,NA,"BD",NA,NA
"Chernobyl",NA,"No","BD","No",2014-06-09,2016-08-06,789,NA,NA,3,2,"NH",NA,14,"No"
"Colorado",NA,"No","KB","No",2015-05-25,2016-05-11,352,NA,NA,2,1,NA,"IFamily",NA,NA
"Curaco",NA,"Yes","KB","Yes",2012-04-14,2012-04-14,0,NA,NA,1,0,NA,NA,NA,NA
"Cusco",NA,"No","NH","No",2018-05-21,2018-12-17,210,NA,NA,2,1,NA,"NH",NA,NA
"Cusco",NA,"No","NH","No",2019-05-21,2020-11-30,559,NA,NA,3,2,"NH",NA,155,"No"
"Daartagnan",2017-11-02,"Yes","LT","Yes",2017-11-02,2022-06-06,1677,0,4.6,1,0,NA,NA,NA,NA
"Dalton",2018-11-28,"Yes","LT","Yes",2018-11-28,2022-11-17,1450,0,3.98,1,0,NA,NA,NA,NA
"Danube",NA,"No","KB","No",2012-05-25,2014-05-12,717,NA,NA,2,1,NA,"BD",NA,NA
"Danube",NA,"No","BD","No",2014-05-28,2014-08-30,94,NA,NA,3,2,"KB","IN",16,"No"
"Danube",NA,"No","AK","No",2015-06-24,2015-10-13,111,NA,NA,5,4,"IN",NA,4,"No"
"Dapper",NA,"No","BD","No",2014-07-01,2016-01-27,575,NA,NA,2,1,NA,NA,NA,NA
"Darwin",NA,"Yes","LT","Yes",2012-07-31,2016-09-02,1494,NA,NA,1,0,NA,NA,NA,NA
"Dastard",2019-11-01,"Yes","LT","Yes",2019-11-01,2022-11-17,1112,0,3.05,1,0,NA,NA,NA,NA
"Diamond",2020-10-29,"Yes","LT","Yes",2020-10-29,2022-11-17,749,0,2.06,1,0,NA,NA,NA,NA
"Dillon",2016-12-05,"Yes","LT","Yes",2016-12-05,2021-12-11,1832,0,5.03,1,0,NA,NA,NA,NA
"Dion",2015-12-12,"Yes","LT","Yes",2015-12-12,2021-03-23,1928,0,5.29,1,0,NA,NA,NA,NA
"Dixon",2018-11-11,"Yes","LT","Yes",2018-11-11,2022-11-17,1467,0,4.03,1,0,NA,NA,NA,NA
"Dokos",NA,"Yes","BD","No",2019-05-30,2022-07-21,1148,NA,NA,2,1,"CR",NA,314,"No"
"Donsig",NA,"Yes","BD","Yes",2011-04-07,2015-01-15,1379,NA,NA,1,0,NA,"LT",NA,NA
"Donsig",NA,"Yes","LT","No",2015-04-03,2018-11-16,1323,NA,NA,2,1,"BD",NA,78,"No"
"Doublespot",NA,"Yes","KB","Yes",2012-08-13,2014-05-10,635,NA,NA,1,0,NA,NA,NA,NA
"Downlip",NA,"No","LT","No",2014-05-28,2014-07-09,42,NA,NA,2,1,NA,NA,NA,NA
"Dublin",NA,"No","NH","No",2010-11-08,2012-10-27,719,NA,NA,2,1,NA,NA,NA,NA
"Dwergie",NA,"Yes","BD","Yes",2010-12-01,2016-01-19,1875,NA,NA,1,0,NA,"AK",NA,NA
"Dwergie",NA,"Yes","AK","No",2016-01-26,2016-03-23,57,NA,NA,2,1,"BD",NA,7,"No"
"Edward",NA,"No","LT","No",2012-06-12,2014-11-12,883,NA,NA,2,1,NA,NA,NA,NA
"Eish",2020-11-21,"Yes","BD","Yes",2020-11-21,2022-11-17,726,0,1.99,1,0,NA,NA,NA,NA
"Elton",NA,"Yes","LT","Yes",2011-06-09,2012-02-04,240,NA,NA,1,0,NA,"AK",NA,NA
"Elton",NA,"Yes","AK","No",2012-01-28,2016-01-18,1451,NA,NA,2,1,"LT",NA,-7,"No"
"Ertjies",NA,"Yes","BD","Yes",2011-04-07,2012-04-26,385,NA,NA,1,0,NA,"NH",NA,NA
"Ertjies",NA,"Yes","NH","No",2012-04-26,2015-12-11,1324,NA,NA,2,1,"BD",NA,0,"No"
"Feniks",NA,"No","BD","No",2017-09-01,2020-01-10,861,NA,NA,2,1,NA,NA,NA,NA
"Flensburg",NA,"No","NH","No",2020-07-31,2021-11-04,461,NA,NA,2,1,NA,"NH",NA,NA
"Fluister",NA,"No","BD","No",2019-04-30,2022-11-17,1297,NA,NA,2,1,NA,NA,NA,NA
"Fudu",NA,"No","AK","No",2013-06-11,2015-09-11,822,NA,NA,2,1,NA,NA,NA,NA
"Gaaf",2014-10-20,"Yes","BD","Yes",2014-10-20,2019-06-08,1692,0,4.65,1,0,NA,"CR",NA,NA
"Gangtok",2017-11-13,"Yes","NH","Yes",2017-11-13,2021-12-24,1502,0,4.12,1,0,NA,NA,NA,NA
"Garoua",2012-10-11,"Yes","NH","Yes",2012-10-11,2016-06-23,1351,0,3.71,1,0,NA,"5males",NA,NA
"Gelosi",NA,"Yes","AK","Yes",2012-05-14,2012-06-01,18,NA,NA,1,0,NA,"LT",NA,NA
"Gelosi",NA,"Yes","LT","No",2012-06-04,2013-10-28,511,NA,NA,2,1,"AK",NA,3,"No"
"George",NA,"No","LT","No",2019-03-18,2022-03-18,1096,NA,NA,2,1,NA,NA,NA,NA
"Ghandaghanda",2020-11-17,"Yes","AK","Yes",2020-11-17,2022-11-17,730,0,2,1,0,NA,NA,NA,NA
"Ghidigidi",2018-11-12,"Yes","AK","Yes",2018-11-12,2021-01-21,801,0,2.2,1,0,NA,NA,NA,NA
"Ghozololo",2012-11-05,"Yes","AK","Yes",2012-11-05,2016-01-28,1179,0,3.24,1,0,NA,NA,NA,NA
"Gibela",2020-11-12,"Yes","AK","Yes",2020-11-12,2022-11-17,735,0,2.02,1,0,NA,NA,NA,NA
"Gigolo",NA,"No","BD","No",2010-12-07,2010-12-07,0,NA,NA,2,1,NA,NA,NA,NA
"Gilane",2018-11-20,"Yes","AK","Yes",2018-11-20,2022-11-17,1458,0,4,1,0,NA,NA,NA,NA
"Giya",2011-10-07,"Yes","AK","Yes",2011-10-07,2013-09-18,712,0,1.95,1,0,NA,NA,NA,NA
"Glastonbury",2013-11-12,"Yes","NH","Yes",2013-11-12,2018-05-14,1644,0,4.51,1,0,NA,"Jacaranda",NA,NA
"Goed",2018-10-26,"Yes","BD","Yes",2018-10-26,2022-11-17,1483,0,4.07,1,0,NA,NA,NA,NA
"Govu",NA,"Yes","AK","Yes",2012-01-28,2013-12-19,691,NA,NA,1,0,NA,"Intaka",NA,NA
"Govu",NA,"Yes","NH","No",2014-06-20,2017-02-27,983,NA,NA,3,2,"Intaka","CR",7,"No"
"Griffin",2020-11-23,"Yes","NH","Yes",2020-11-23,2022-11-17,724,0,1.99,1,0,NA,NA,NA,NA
"Grote",NA,"Yes","BD","Yes",2011-04-07,2012-03-21,349,NA,NA,1,0,NA,"NH",NA,NA
"Grote",NA,"Yes","NH","No",2012-05-01,2013-01-25,269,NA,NA,2,1,"BD",NA,41,"No"
"Gubudu",2020-12-11,"Yes","AK","Yes",2020-12-11,2022-11-17,706,0,1.94,1,0,NA,NA,NA,NA
"Gusha",2020-11-16,"Yes","AK","Yes",2020-11-16,2021-03-11,115,0,0.32,1,0,NA,NA,NA,NA
"Guyaquil",2010-11-05,"Yes","NH","Yes",2010-11-05,2015-04-22,1629,0,4.47,1,0,NA,NA,NA,NA
"Guzunga",2018-11-01,"Yes","AK","Yes",2018-11-01,2022-11-17,1477,0,4.05,1,0,NA,NA,NA,NA
"Halfy",2012-12-01,"Yes","LT","Yes",2012-12-01,NA,NA,0,NA,1,0,NA,NA,NA,NA
"Hamlet",NA,"Yes","LT","Yes",2011-05-14,2013-05-07,724,NA,NA,1,0,NA,"AK",NA,NA
"Hamlet",NA,"Yes","AK","No",2013-05-24,2014-05-14,355,NA,NA,2,1,"LT","BD",17,"No"
"Hamlet",NA,"Yes","BD","No",2014-05-28,2015-05-26,363,NA,NA,3,2,"AK","CR",14,"No"
"Handi",NA,"Yes","BD","No",2017-05-06,2020-03-04,1033,NA,NA,2,1,"CR",NA,7,"No"
"Harry",NA,"No","LT","No",2011-06-09,2012-08-28,446,NA,NA,2,1,NA,NA,NA,NA
"Hasie",2015-11-19,"Yes","BD","Yes",2015-11-19,2016-05-17,180,0,0.49,1,0,NA,NA,NA,NA
"Heelal",2017-10-30,"Yes","BD","Yes",2017-10-30,2022-11-17,1844,0,5.06,1,0,NA,NA,NA,NA
"Heilweis",2014-10-31,"Yes","BD","Yes",2014-10-31,2019-06-08,1681,0,4.61,1,0,NA,"CR",NA,NA
"Heyi",2012-10-15,"Yes","AK","Yes",2012-10-15,2017-04-24,1652,0,4.54,1,0,NA,NA,NA,NA
"Hiasint",2018-10-26,"Yes","BD","Yes",2018-10-26,2021-04-08,895,0,2.46,1,0,NA,NA,NA,NA
"Hibe",2010-11-02,"Yes","AK","Yes",2010-11-02,2015-05-15,1655,0,4.54,1,0,NA,NA,NA,NA
"Hlokoloza",2012-12-23,"Yes","AK","Yes",2012-12-23,2017-05-16,1605,0,4.41,1,0,NA,"BD",NA,NA
"Hlokoloza",2012-12-23,"Yes","BD","No",2017-05-16,2019-11-20,918,4.41,6.93,2,1,"AK",NA,0,"No"
"Hluhluwe",2014-10-18,"Yes","AK","Yes",2014-10-18,2020-02-27,1958,0,5.38,1,0,NA,NA,NA,NA
"Hola",2012-09-11,"Yes","AK","Yes",2012-09-11,2018-02-15,1983,0,5.44,1,0,NA,NA,NA,NA
"Humusha",2014-09-22,"Yes","AK","Yes",2014-09-22,2016-05-21,607,0,1.67,1,0,NA,NA,NA,NA
"Hwahwaza",2011-09-16,"Yes","AK","Yes",2011-09-16,2016-06-04,1723,0,4.73,1,0,NA,"BD",NA,NA
"Hwahwaza",2011-09-16,"Yes","BD","No",2016-06-08,2017-12-11,551,4.74,6.25,2,1,"AK",NA,4,"No"
"Ifu",2010-11-02,"Yes","AK","Yes",2010-11-02,2015-03-30,1609,0,4.42,1,0,NA,NA,NA,NA
"Iggy",NA,"Yes","LT","Yes",2014-08-18,2019-03-15,1670,NA,NA,1,0,NA,NA,NA,NA
"Ihlane",2014-11-03,"Yes","AK","Yes",2014-11-03,2016-02-29,483,0,1.33,1,0,NA,"IFamily",NA,NA
"Ijinja",2012-10-09,"Yes","AK","Yes",2012-10-09,2016-03-03,1241,0,3.41,1,0,NA,"Ifamily",NA,NA
"Imposter",NA,"Yes","LT","No",2017-11-23,2018-02-07,76,NA,NA,3,2,NA,NA,NA,NA
"Intaba",2014-11-27,"Yes","AK","Yes",2014-11-27,2016-02-29,459,0,1.26,1,0,NA,"IFamily",NA,NA
"Istanbul",NA,"Yes","NH","Yes",2010-12-15,2012-01-09,390,NA,NA,1,0,NA,NA,NA,NA
"Izulu",NA,"Yes","AK","Yes",2012-01-28,2013-03-23,420,NA,NA,1,0,NA,NA,NA,NA
"Jackie",NA,"Yes","LT","Yes",2011-08-03,2014-06-20,1052,NA,NA,1,0,NA,NA,NA,NA
"Jagerbomb",NA,"No","BD","No",2014-05-08,2015-01-10,247,NA,NA,2,1,NA,NA,NA,NA
"James",NA,"No","LT","No",2011-01-28,2012-06-08,497,NA,NA,2,1,NA,NA,NA,NA
"Jeddah",2014-10-27,"Yes","NH","Yes",2014-10-27,2017-03-08,863,0,2.37,1,0,NA,NA,NA,NA
"Jiamusi",2015-11-09,"Yes","NH","Yes",2015-11-09,2016-04-13,156,0,0.43,1,0,NA,"Iceland",NA,NA
"Jixi",2013-10-31,"Yes","NH","Yes",2013-10-31,2018-05-30,1672,0,4.59,1,0,NA,NA,NA,NA
"Joe",2013-12-01,"Yes","LT","Yes",2013-12-01,2018-12-07,1832,0,5.03,1,0,NA,NA,NA,NA
"Juneau",2011-11-20,"Yes","NH","Yes",2011-11-20,2016-04-12,1605,0,4.41,1,0,NA,"Ifamily",NA,NA
"Kauai",NA,"No","BD","No",2017-05-15,2018-03-02,291,NA,NA,3,2,"CR",NA,131,"No"
"Kekeke",NA,"No","AK","No",2019-05-31,2020-04-18,323,NA,NA,2,1,NA,"NH",NA,NA
"Kekeke",NA,"No","NH","No",2020-05-09,2020-11-12,187,NA,NA,3,2,"AK",NA,21,"No"
"Kenneth",NA,"Yes","LT","Yes",2014-08-15,2015-11-18,460,NA,NA,1,0,NA,NA,NA,NA
"Kies",2010-11-23,"Yes","BD","Yes",2010-11-23,2015-07-17,1697,0,4.66,1,0,NA,"AK",NA,NA
"Kies",2010-11-23,"Yes","AK","No",2015-07-20,2015-12-24,157,4.67,5.1,2,1,"BD",NA,3,"No"
"Kommunis",NA,"No","AK","No",2019-10-09,2019-10-09,0,NA,NA,2,1,NA,"BD",NA,NA
"Kommunis",NA,"No","BD","No",2019-11-12,2022-12-14,1128,NA,NA,3,2,"AK","BD",34,"No"
"Kyle",2014-11-24,"Yes","LT","Yes",2014-11-24,2018-02-21,1185,0,3.25,1,0,NA,NA,NA,NA
"Larry",2018-12-15,"Yes","LT","Yes",2018-12-15,2020-07-18,581,0,1.6,1,0,NA,NA,NA,NA
"Lawrence",2015-11-17,"Yes","LT","Yes",2015-11-17,2016-04-12,147,0,0.4,1,0,NA,NA,NA,NA
"Lefty",2013-12-01,"Yes","LT","Yes",2013-12-01,2017-01-16,1142,0,3.14,1,0,NA,NA,NA,NA
"Lekker",NA,"No","BD","No",2010-11-09,2012-04-23,531,NA,NA,2,1,NA,"NH",NA,NA
"Lekker",NA,"No","NH","No",2012-04-28,2012-05-18,20,NA,NA,3,2,"BD","BD",5,"No"
"Lekker",NA,"No","BD","No",2012-05-19,2015-02-12,999,NA,NA,4,3,"NH",NA,1,"No"
