LH_AnimalID,LH_AnimalCode,Sex,FirstDate,MiguelCorrected,MiguelComments
Pompon,NA,M,26/10/2010,yes or no,
2nd MJ,NA,M,08/11/2010,,
Napoli,Nap,M,08/11/2010,,
Adonis,Ado,M,09/11/2010,,
Babelas,Bab,M,09/11/2010,,also named M30 for some time
Boks,Bok,M,09/11/2010,,
Sko,NA,M,09/11/2010,,changed Little Skollie for Sko
Pik,Pik,M,09/11/2010,,
Skollie,Sko,M,09/11/2010,,sometimes called Little Skollie
Xai,Xai,M,22/11/2010,,
Tannie,Tann,F,26/11/2010,,
Little Napoli,NA,M,04/12/2010,,
Gigolo,Gig,M,07/12/2010,,
Michael Jackson,Mic,M,08/12/2010,,
Black tits,NA,F,13/12/2010,,
Drew,Drew,F,13/12/2010,,
Little Balls,NA,M,13/12/2010,,
Mini MJ,NA,F,13/12/2010,,
Pink,Pink,F,13/12/2010,,
Radja,Rad,M,13/12/2010,,
Skin,Skin,F,13/12/2010,,
Istanbul,Ist,M,15/12/2010,,
Ahekinkinga,Ahe,M,18/12/2010,,
Guns and Roses,Gun,M,18/12/2010,,
SMA,SMA,M,18/12/2010,,
Ulaka,Ulak,F,18/12/2010,,
Elvis Presley,Elv,M,24/12/2010,,
Gino,Gin,M,24/12/2010,,
Jimmy Hendricks,Jim,M,24/12/2010,,
Karen Zoid,Kare,F,24/12/2010,,
Pat Lansky,Pat,M,28/12/2010,,
Bryan,Bry,M,16/01/2011,,
Okucane,Oku,M,18/01/2011,,
Queen,Quee,F,19/01/2011,,
William,Wil,M,19/01/2011,,
James,Jam,M,28/01/2011,,
Venezia,Vene,F,19/02/2011,,
Little Blind,NA,F,24/03/2011,,CodeName Lblind
Engel,Enge,F,07/04/2011,,Sometimes called Chouchou
Ertjies,Ert,M,07/04/2011,,
Grote,Gro,M,07/04/2011,,
Snortjie,Snor,F,19/04/2011,,
Rusk,Rus,M,04/06/2011,,
Harry,Har,M,09/06/2011,,
Jackie,Jac,M,03/08/2011,,
Merlin,Mer,M,03/08/2011,,
Mousse,Mou,M,03/08/2011,,
Theodore,The,M,09/08/2011,,
Amy Winehouse,Amyw,F,29/09/2011,,
Bruce Springsteen,Bru,M,29/09/2011,,
SF1,NA,F,29/09/2011,,
Spotted,Spo,M,29/09/2011,,
Vasco Rossi,Vas,M,29/09/2011,,
Cindy Lauper,Cind,F,26/10/2011,,
Upside down,NA,M,28/10/2011,,
Evanescence,Evan,F,01/11/2011,,
Jenny,Jenn,F,16/11/2011,,
Byron,Byr,M,21/11/2011,,
Charles,Cha,M,21/11/2011,,
Neuchatel,Neu,M,16/12/2011,,
Bongani,Bon,M,28/01/2012,,
Curaco,Cur,M,14/04/2012,,
Styx,Sty,M,14/04/2012,,
Tweed,Twe,M,20/04/2012,,
Darwin,Dar,M,31/07/2012,,
Double Spot,Dou,M,13/08/2012,,
Delilah,Deli,F,08/10/2012,,
Little Z,NA,M,08/02/2013,,
Pearl,Pear,F,24/04/2013,,
Avon,Avo,M,11/11/2013,,"Before Avo, it was named Appy"
Digby,Digb,F,08/01/2014,,
Rose-Mary,Rose,F,11/02/2014,,
Tere,Tere,F,30/05/2014,,
Lefty,Lef,M,31/05/2014,,
Adam,Ada,M,14/08/2014,,
Kenneth,Ken,M,15/08/2014,,
Liam,Lia,M,15/08/2014,,
Iggy,Igg,M,18/08/2014,,
Mathimula,Mat,M,21/10/2014,,
BabyTere (F10) 2014,BF1014,NA,22/10/2014,,
Faroe,Far,M,28/10/2014,,
Formentera,Form,F,28/10/2014,,
Kangaroo,NA,NA,28/10/2014,,
Krakatoa,Krak,F,28/10/2014,,
Greenland,NA,NA,12/11/2014,,
Teddibeer,Ted,M,12/11/2014,,
Propriano,Pro,M,19/11/2014,,
Thames,Tha,M,19/11/2014,,
Mercury,Mer,M,18/12/2014,,
Cone,Con,M,30/12/2014,,
Curious,NA,M,30/12/2014,,
Ellesmere,Elle,F,30/12/2014,,
Iceland,Icel,F,30/12/2014,,
Japan,Jap,M,30/12/2014,,
Kergelen,Ker,M,30/12/2014,,
Pizza,Piz,M,30/12/2014,,
Solomon,Sol,M,30/12/2014,,
Antarctica,Anta,F,31/12/2014,,
Handi,Han,M,31/12/2014,,
Helmet,Hel,M,31/12/2014,,
Inner,Inn,M,31/12/2014,,
Lionel,Lion,F,31/12/2014,,
Macedonia,Mac,M,31/12/2014,,
Mackanzie,Mack,F,31/12/2014,,
Samoa,Samo,F,31/12/2014,,
Seychelles,Sey,M,31/12/2014,,
The Mask,NA,F,31/12/2014,,
Chiloe,Chil,F,06/01/2015,,
Cuba,Cuba,F,06/01/2015,,
Flatty,Fla,M,06/01/2015,,
Galapagos,Gala,F,06/01/2015,,
Henderson,Hen,M,06/01/2015,,
Tonga,Tong,F,06/01/2015,,
Whiskers,Whis,F,06/01/2015,,
Xiushan,Xiu,M,06/01/2015,,
Symetric,Sym,M,09/01/2015,,
Lohihi,Lohi,F,10/01/2015,,
Huge,Huge,F,12/01/2015,,
Oahu,Oahu,F,12/01/2015,,
Pointy,Poi,M,12/01/2015,,
Sumbawa,Sumb,F,19/01/2015,,
Umnak,Umna,F,11/02/2015,,
Olona,Olo,M,03/04/2015,,
Okavango,Oka,M,04/05/2015,,
Smashy,Smas,F,16/06/2015,,
Tortuga,Tort,F,22/07/2015,,
Pianosa,Pia,M,26/09/2015,,
Robben,Robb,F,29/09/2015,,
Martinique,Mart,F,07/10/2015,,
Barbados,Barb,F,08/10/2015,,
Dulcina,Dulc,F,08/10/2015,,
Zave,Zav,M,28/10/2015,,
Ireland,Ire,M,08/11/2015,,
Raspberry,Rasp,F,13/11/2015,,
Everest,Eve,M,14/11/2015,,
Kilimanjaro,Kil,M,14/11/2015,,
Jalitah,NA,NA,27/11/2015,,
Yell,Yel,M,28/11/2015,,
Puolka,Puol,F,28/12/2015,,
Alcatraz,Alc,M,14/01/2016,,
Manhattan,Manh,F,11/02/2016,,
Schnauzli,Schn,F,11/02/2016,,
Bermuda,Ber,M,29/02/2016,,
Java,Java,F,28/03/2016,,
Umbrella,Umb,M,19/10/2016,,
Robin,Rob,M,20/10/2016,,
Reindeer,Rein,F,01/11/2016,,
Renee,Rene,F,01/11/2016,,
Louise,Loui,F,09/11/2016,,
Gabillou,Gabi,F,14/11/2016,,
Dillon,Dil,M,05/12/2016,,
Luan,Lua,M,19/12/2016,,
Dewey,Dewe,F,04/01/2017,,
Tyler,Tyl,M,22/05/2017,,
New male (look like Rio),NA,M,22/06/2017,,
Dokos,Dok,M,22/08/2017,,
Feniks,Fen,M,01/09/2017,,
Kommunis,Kom,M,04/09/2017,,This individual was sometimes named Bin/Kom
Cameron,Cam,M,05/10/2017,,
Aarhus,Aar,M,09/10/2017,,
Rocky,Roc,M,09/10/2017,,
Uranium City,Ura,M,09/10/2017,,
Lavander,Lava,F,11/10/2017,,
Mokcha,Mokc,F,13/10/2017,,
Ischia,Isc,M,16/10/2017,,
Ndiki,Ndik,F,16/10/2017,,
Timber,Timb,F,16/10/2017,,
Jelly,Jell,F,19/10/2017,,
Margarita,Mar,M,25/10/2017,,
Jersey,Jers,F,26/10/2017,,
Daartagnan,Daa,M,02/11/2017,,
Nantucket,Nan,M,02/11/2017,,
Nihau,Niha,F,06/11/2017,,
Dexter,Dext,F,30/11/2017,,
Corfu,NA,NA,23/12/2017,,
Doreen,Dore,F,29/12/2017,,
Puntag,Pun,M,02/03/2018,,
Bali,Bali,F,09/04/2018,,
Easter,East,F,09/04/2018,,
Fiji,Fiji,F,12/04/2018,,
Kodiak,Kodi,F,12/04/2018,,
Kookoolegit,Koo,M,12/04/2018,,
Blup blup,Blu,M,18/04/2018,,
Cusco,Cus,M,21/05/2018,,
Oscar,Osc,M,07/06/2018,,
Benedict,Ben,M,08/06/2018,,
Laila,Lail,F,11/06/2018,,
Aathabasca,Aat,M,26/10/2018,,
Mimiek,Mimi,F,26/10/2018,,
Pofferthie,Poff,F,26/10/2018,,
Skemer,Skem,F,01/11/2018,,
Ncoko,Ncok,F,02/11/2018,,
Oerwoud,Oerw,F,09/11/2018,,
Dixon,Dix,M,11/11/2018,,
Ghidigidi,Ghi,M,12/11/2018,,
Gilane,Gil,M,20/11/2018,,
Dunston,NA,NA,24/11/2018,,
Dalton,Dal,M,28/11/2018,,
Yelowstone,Yelo,F,04/12/2018,,
Reenboog,Reen,F,12/12/2018,,
Larry,Lar,M,15/12/2018,,
George,Geo,M,18/03/2019,,
Washington Babylon,Was,M,18/03/2019,,
Fluister,Flu,M,30/04/2019,,
Kekeke,Kek,M,31/05/2019,,
Lipsy,Lip,M,01/06/2019,,
Ouagadougou,Oua,M,03/06/2019,,
Dastard,Das,M,01/11/2019,,
Lampshade,Lamp,F,07/11/2019,,
Tasty flavours,Tas,M,04/12/2019,,
Tambacounda,Tam,M,15/05/2020,,
Utrecht,Utr,M,15/05/2020,,
Vladivostok,Vla,M,28/05/2020,,
Flensburg,Fle,M,16/06/2020,,
Warnemünde,War,M,24/08/2020,,
Aaalva,Aaa,M,08/10/2020,,
Shongololo,Sho,M,13/10/2020,,
Diamond,Dia,M,29/10/2020,,
Light,Lig,M,29/10/2020,,
Awash,Awa,M,03/11/2020,,
Xenia,Xeni,F,03/11/2020,,
Appel,App,M,04/11/2020,,
Papp,Papp,F,04/11/2020,,
Gibela,Gib,M,12/11/2020,,
Poppie,Popp,F,12/11/2020,,
Yonne,Yon,M,12/11/2020,,
Oupa,Oup,M,13/11/2020,,
Gusha,Gus,M,16/11/2020,,
Ndumiso,Ndum,F,16/11/2020,,
Riversdale,Riv,M,16/11/2020,,
Ghandaghanda,Gha,M,17/11/2020,,
Ouma,Ouma,F,18/11/2020,,
Helikopter,Heli,F,19/11/2020,,
Nkunzi,Nkun,F,19/11/2020,,
Roeslare,Roes,F,19/11/2020,,
Dazzle,Dazz,F,20/11/2020,,
Eish,Eis,M,21/11/2020,,
Griffin,Gri,M,23/11/2020,,
Xopo,Xop,M,23/11/2020,,
Moesa,Moes,f,24/11/2020,,
Reenval,Ree,M,24/11/2020,,
Rivier,Rivi,F,24/11/2020,,
Spanspek,Span,F,24/11/2020,,
Sylinder,Syl,M,24/11/2020,,
Muis,Mui,M,25/11/2020,,
Bangalore,Bang,F,26/11/2020,,
Deja,Deja,F,07/12/2020,,
Loki,Loki,F,07/12/2020,,
Delta,Delt,F,11/12/2020,,
Gubudu,Gub,M,11/12/2020,,
Palmela,Palm,F,17/12/2020,,
Lugano,Lug,M,21/12/2020,,
Naartjie,Naa,M,21/12/2020,,
Ndondo,Ndo,M,04/01/2021,,
Sion,Sio,M,06/01/2021,,
Rimini,Rim,M,11/01/2021,,
Udupi,Udup,F,19/01/2021,,
Bougainville,Bou,M,24/03/2021,,
DodgyKnee,Dodg,F,16/04/2021,,
Bukubuku,Buk,M,11/05/2021,,
Tchakalaka,Tch,M,11/05/2021,,
Cayman,Cay,M,19/05/2021,,
WavyEars,WavyEars,M,21/05/2021,,
Goose,Goos,F,25/05/2021,,This individual has two identical entries
Duckie,Duc,M,27/05/2021,,
Okefenokee,Oke,M,31/05/2021,,
Tevere,Tev,M,31/05/2021,,
Holey,Hole,F,01/06/2021,,
PointyEars,PointyEars,M,01/06/2021,,
Zuni,Zuni,F,01/06/2021,,
Etosha,Eto,M,02/06/2021,,
Apa,Apa,M,04/06/2021,,
Momo,Mom,M,04/06/2021,,
BigEars,NA,M,06/06/2021,,
PlainJane,Pla,M,14/06/2021,,
Skhumbuzo,Skh,M,15/06/2021,,
Barry,Barr,F,28/07/2021,,
Clarence,Clar,F,28/07/2021,,
Elbar,Elba,F,28/07/2021,,
Nora,Nora,F,28/07/2021,,
Yodo,Yodo,F,03/10/2021,,
Nul,Nul,M,06/10/2021,,
Amstel,Amst,F,12/10/2021,,
Nukke,Nuk,M,18/10/2021,,
Piesang,Pie,M,18/10/2021,,
Xihau,Xih,M,21/10/2021,,
Gasket,Gas,M,25/10/2021,,
Montreal,Mon,M,25/10/2021,,
Askies,Ask,M,27/10/2021,,
Padkos,Padk,F,27/10/2021,,
Primavera,Prim,F,28/10/2021,,
Eier,Eie,M,02/11/2021,,
Ndlovu,Ndl,M,02/11/2021,,
Rafaela,Rafa,F,02/11/2021,,
Gomonqo,Gom,M,03/11/2021,,
Grive,Griv,F,03/11/2021,,
Haaigranaat,Haai,F,04/11/2021,,
Hemel,Hem,M,04/11/2021,,
Nkomo,Nko,M,04/11/2021,,
Omelet,Ome,M,04/11/2021,,
Galeria,Gale,F,05/11/2021,,
Nyala,Nyal,F,05/11/2021,,
Purper,Pur,M,05/11/2021,,
Utica,Utic,M,06/11/2021,,
Bethlehem,Bet,M,08/11/2021,,
Rivas,Riva,F,08/11/2021,,
Xarès,Xar,M,08/11/2021,,
Nihiru,Nihi,F,09/11/2021,,
Nooit,Noo,M,09/11/2021,,
Slang,Sla,M,09/11/2021,,
Gobela,Gobe,F,12/11/2021,,
Spek,Spe,M,13/11/2021,,
Renoster,Reno,F,15/11/2021,,
Yamp,Yam,M,16/11/2021,,
Rimpel,Rimp,F,18/11/2021,,
Sitrus,Sitr,F,18/11/2021,,
Miskien,Misk,F,19/11/2021,,
Daila,Dail,F,20/11/2021,,
Disco,Dis,M,21/11/2021,,
Danielle,Dani,F,22/11/2021,,
Sampion,Samp,F,22/11/2021,,
Bahamas,Baha,F,27/11/2021,,
Tiki,Tik,M,30/11/2021,,
Lola,Lola,F,03/12/2021,,
Delux,Del,M,11/12/2021,,
Derrick,Der,M,11/12/2021,,
Lucifer,Luc,M,11/12/2021,,
Yub,Yub,M,21/12/2021,,
Nelson,Nel,M,17/03/2022,,
Furry Glen,Fur,M,19/03/2022,,
Capri,Cap,M,28/03/2022,,
Ibissa,Ibi,M,09/06/2022,,
Vryheid,Vry,M,10/06/2022,,
Formintira,For,M,11/06/2022,,
Ermelo,Erm,M,16/06/2022,,
New Male 3,,M,16/06/2022,,
Athena,Athe,F,28/06/2022,,
Circe,Circ,F,28/06/2022,,
Freyja,Frey,F,28/06/2022,,
Hera,Hera,F,28/06/2022,,
Medusa,Medu,F,28/06/2022,,
Pandora,Pand,F,28/06/2022,,
Zeus,Zeu,M,28/06/2022,,
Ryan,Rya,M,06/07/2022,,
Dakar,Dak,M,10/09/2022,,
Bug Eyes,NA,NA,NA,,
Collin,Col,M,NA,,
Fergie,Ferg,F,NA,,
Gollum,NA,NA,NA,,
Gosh,NA,NA,NA,,
Heart,NA,NA,NA,,
Imposter,Imp,M,NA,,
Jamaica,Jama,F,NA,,
Kurt Cubain,Kur,M,NA,,
Little Notch,NA,NA,NA,,
Madonna,Mado,F,NA,,
Nostrils,NA,NA,NA,,
Pitcairn,Pit,M,NA,,
Red Hot,Red,M,NA,,
SF2,NA,F,NA,,
Small Eyes,NA,M,NA,,
Tasmania,Tas,NA,NA,,
Whidbey,Whid,F,NA,,
Wierdo,Wier,F,NA,,
