"AnimalID","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Aaalva","Aaa",2019-11-01,2020-10-08,"2019-11-01",3.44,"juvenile"
"Aalwyn","Aal",2018-11-27,2018-11-27,"2018-11-27",4.37,"sub-adult"
"Aantreklik","Aan",2017-10-17,2017-10-17,"2017-10-17",5.49,"adult"
"Aapie","Aapi",2013-11-11,2013-11-11,"2013-11-11",9.43,"adult"
"Aarhus","Aar",2017-10-09,2017-10-09,"2017-10-09",5.51,"adult"
"Aaragon","Aara",2016-11-16,2016-11-16,"2016-11-16",6.4,"adult"
"Aare","Aare",NA,2013-02-08,"2013-02-08",NA,"adult"
"Aathabasca","Aat",2018-10-26,2018-10-26,"2018-10-26",4.46,"sub-adult"
"Adam","Ada",NA,2014-08-14,"2010-08-14",NA,"adult"
"Adder","Add",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Adonis","Ado",NA,2010-11-09,"2006-11-09",NA,"adult"
"Afrikaans","Afr",2010-10-19,2010-10-19,"2010-10-19",12.5,"adult"
"Ahekinkinga","Ahe",NA,2010-12-18,"2006-12-18",NA,"adult"
"Akkedis","Akk",2011-11-07,2011-11-07,"2011-11-07",11.45,"adult"
"Alabama","Alab",2022-10-31,2022-10-31,"2022-10-31",0.43,"baby"
"Alcatraz","Alc",NA,2016-01-14,"2014-11-01",NA,"adult"
"Alsiende","Alsi",2012-10-23,2012-10-23,"2012-10-23",10.48,"adult"
"Amazon","Amaz",NA,2012-03-13,"2012-03-13",NA,"adult"
"Amgoun","Amg",2017-10-09,2017-10-09,"2017-10-09",5.51,"adult"
"Amstel","Amst",2021-10-12,2021-10-12,"2021-10-12",1.49,"juvenile"
"Amur","Amur",NA,2012-05-09,"2011-11-01",NA,"adult"
"Amywinehouse","Amyw",NA,NA,NA,NA,NA
"Andrew","And",NA,2013-02-09,"2010-04-12",NA,"adult"
"Angara","Ang",2022-10-26,2022-10-26,"2022-10-26",0.45,"baby"
"Antarctica","Anta",NA,2014-12-31,"2014-12-31",NA,"adult"
"Apa","Apa",NA,2021-06-04,"2017-06-04",NA,"adult"
"Apollo","Apo",NA,2022-11-17,NA,NA,NA
"Appel","App",2020-11-04,2020-11-04,"2020-11-04",2.43,"juvenile"
"Ardig","Ard",2018-11-15,2018-11-15,"2018-11-15",4.4,"sub-adult"
"Arno","Arn",2014-10-17,2014-10-17,"2014-10-17",8.49,"adult"
"Arthur","Art",NA,2011-11-03,"2007-11-03",NA,"adult"
"Asis","Asis",NA,2011-02-19,"2011-02-19",NA,"adult"
"Askies","Ask",2021-10-27,2021-10-27,"2021-10-27",1.45,"juvenile"
"Asseblief","Ass",2014-11-05,2014-11-05,"2014-11-05",8.44,"adult"
"Athena","Athe",NA,2022-06-28,NA,NA,NA
"Atitlan","Ati",NA,2015-04-28,"2011-04-28",NA,"adult"
"Atjar","Atj",2022-11-18,2022-11-18,"2022-11-18",0.38,"baby"
"Auckland","Auc",NA,2012-02-27,"2008-02-27",NA,"adult"
"Avon","Avo",2013-11-11,2013-11-11,"2013-11-11",9.43,"adult"
"Awash","Awa",2020-11-03,2020-11-03,"2020-11-03",2.43,"juvenile"
"Babyaare2015","BAar15",2015-11-12,NA,"2015-11-12",7.42,"adult"
"Babyamur2015","BAmu15",2015-10-25,NA,"2015-10-25",7.47,"adult"
"Babyamur2016","BAmu16",2016-11-03,NA,"2016-11-03",6.44,"adult"
"Bbbali22","BBBali22",NA,NA,NA,NA,NA
"Bbcirc21","BBCirc21",NA,NA,NA,NA,NA
"Bbdaen22","BBDaen22",2022-11-24,NA,"2022-11-24",0.37,"baby"
"Babydewe2021","BBDew21",2021-11-16,NA,"2021-11-16",1.39,"juvenile"
"Bbdewe22","BBDewe22",2022-11-18,NA,"2022-11-18",0.38,"baby"
"Bbdian22","BBDian22",2022-11-10,NA,"2022-11-10",0.41,"baby"
"Bbdigb22","BBDigb22",2022-11-04,NA,"2022-11-04",0.42,"baby"
"Babydodgyknee2021","BBDod21",NA,NA,NA,NA,NA
"Babyzuni2021","BBFZuni21",NA,NA,NA,NA,NA
"Bbgala22","BBGala22",NA,NA,NA,NA,NA
"Babygoose2021","BBGoo21",NA,NA,NA,NA,NA
"Bbgoos22","BBGoos22",NA,NA,NA,NA,NA
"Bbgran22","BBGran22",2022-11-21,NA,"2022-11-21",0.38,"baby"
"Bbhera22","BBHera22",NA,NA,NA,NA,NA
"Bbinhl21","BBInhl21",NA,NA,NA,NA,NA
"Bbinhl22","BBInhl22",NA,NA,NA,NA,NA
"Babykodi2021","BBKodi21",NA,NA,NA,NA,NA
"Bbmack22","BBMack22",NA,NA,NA,NA,NA
"Bbmara22","BBMara22",2022-11-05,NA,"2022-11-05",0.42,"baby"
"Bbmedu22","BBMedu22",NA,NA,NA,NA,NA
"Bbndaw22","BBNdaw22",2022-12-03,NA,"2022-12-03",0.34,"baby"
"Bbniha22","BBNiha22",NA,NA,NA,NA,NA
"Bboort22","BBOort22",2022-11-15,NA,"2022-11-15",0.39,"baby"
"Bbpret22","BBPret22",2022-11-26,NA,"2022-11-26",0.36,"baby"
"Bbxian22","BBXian22",2022-10-21,NA,"2022-10-21",0.46,"baby"
"Babybelabela2019","BBel19",2019-10-14,NA,"2019-10-14",3.49,"juvenile"
"Babybeminde2013","BBem13",2013-10-22,NA,"2013-10-22",9.48,"adult"
"Babybog2012","BBog12",2012-10-18,NA,"2012-10-18",10.5,"adult"
"Babybushy2014","BBus14",2014-11-03,NA,"2014-11-03",8.45,"adult"
"Babycam2011","BCam11",NA,NA,NA,NA,NA
"Babycam2012","BCam12",2012-09-29,NA,"2012-09-29",10.55,"adult"
"Babydag2012","BDag12",2012-09-25,NA,"2012-09-25",10.56,"adult"
"Babydaisy2019","BDai19",NA,NA,NA,NA,NA
"Babydelilah2019","BDel19",2019-11-04,NA,"2019-11-04",3.43,"juvenile"
"Babydiana2015","BDia15",2015-11-17,NA,"2015-11-17",7.41,"adult"
"Babydiana2019","BDia19",2019-10-29,NA,"2019-10-29",3.45,"juvenile"
"Babydian2021","BDia21",2021-09-29,NA,"2021-09-29",1.52,"juvenile"
"Babydigby2017","BDig17",2017-10-05,NA,"2017-10-05",5.52,"adult"
"Babydigby2019","BDig19",2019-10-22,NA,"2019-10-22",3.47,"juvenile"
"Babydigby2020","BDig20",2020-11-17,NA,"2020-11-17",2.39,"juvenile"
"Babyeina2018","BEin18",2018-11-13,NA,"2018-11-13",4.41,"sub-adult"
"Babyemm2012","BEmm12",2012-10-08,NA,"2012-10-08",10.52,"adult"
"Babytere2014","BF1014",2014-10-22,NA,"2014-10-22",8.48,"adult"
"Babygaga2013","BGag13",2013-10-24,NA,"2013-10-24",9.48,"adult"
"Babygaga2015","BGag15",2015-11-26,NA,"2015-11-26",7.38,"adult"
"Babygaya2018","BGay18",2018-12-24,NA,"2018-12-24",4.3,"sub-adult"
"Babygaya2019","BGay19",2019-10-14,NA,"2019-10-14",3.49,"juvenile"
"Babygeneva2018","BGen18",2018-11-05,NA,"2018-11-05",4.43,NA
"Babygese2017","BGes17",2017-10-09,NA,"2017-10-09",5.51,"adult"
"Babyghan2015","BGha15",2015-11-06,NA,"2015-11-06",7.44,"adult"
"Babyguat2020","BGua20",2020-12-02,NA,"2020-12-02",2.35,"juvenile"
"Babyguat2021","BGua21",2021-11-02,NA,"2021-11-02",1.43,"juvenile"
"Babygugu2015","BGug15",2015-11-16,NA,"2015-11-16",7.41,"adult"
"Babygugu2017","BGug17",2017-10-31,NA,"2017-10-31",5.45,"adult"
"Babygugu2019","BGug19",2019-11-09,NA,"2019-11-09",3.42,"juvenile"
"Babyhak2011","BHak11",2011-11-22,NA,"2011-11-22",11.4,"adult"
"Babyham2013","BHam13",2013-10-03,NA,"2013-10-03",9.53,"adult"
"Babyheer2019","BHee19",2019-10-28,NA,"2019-10-28",3.45,"juvenile"
"Babyidwa2015","BIdw15",2015-11-18,NA,"2015-11-18",7.4,"adult"
"Babyisil2015","BIsi15",2015-11-05,NA,"2015-11-05",7.44,"adult"
"Babyjenn2014","BJen14",2014-10-20,NA,"2014-10-20",8.49,"adult"
"Babyjink2014","BJin14",2014-11-03,NA,"2014-11-03",8.45,"adult"
"Babykai2012","BKai12",NA,NA,NA,NA,NA
"Babykaya2017","BKay17",2017-11-04,NA,"2017-11-04",5.44,"adult"
"Babylittleblind2017","BLBl17",2017-10-03,NA,"2017-10-03",5.52,"adult"
"Babylau2012","BLau12",2012-10-29,NA,"2012-10-29",10.47,"adult"
"Babylima2018","BLim18",2018-11-29,NA,"2018-11-29",4.37,"adult"
"Babylima2019","BLim19",2019-10-22,NA,"2019-10-22",3.47,"juvenile"
"Babylionel2017","BLio17",NA,NA,NA,NA,NA
"Babymackenzie2017","BMac17",NA,NA,NA,NA,NA
"Babymamo2015","BMam15",2015-11-11,NA,"2015-11-11",7.42,"adult"
"Babymara2019","BMar19",2019-10-21,NA,"2019-10-21",3.47,"juvenile"
"Babymielies2014","BMie14",2014-10-27,NA,"2014-10-27",8.47,"adult"
"Babymielies2017","BMie17",2017-12-27,NA,"2017-12-27",5.29,"adult"
"Babymielies2019","BMie19",2019-10-31,NA,"2019-10-31",3.44,"juvenile"
"Babymoo2011","BMoo11",2012-01-23,NA,"2012-01-23",11.23,"adult"
"Babynala2014","BNal14",2014-10-18,NA,"2014-10-18",8.49,"adult"
"Babyndaw2021","BNda21",2021-11-18,NA,"2021-11-18",1.39,"juvenile"
"Babyness2015","BNes15",2015-11-09,NA,"2015-11-09",7.43,"adult"
"Babynessie2019","BNes19",2019-10-24,NA,"2019-10-24",3.46,"juvenile"
"Babyniese2014","BNie14",2014-11-11,NA,"2014-11-11",8.43,"adult"
"Babynkos2015","BNko15",2015-11-12,NA,"2015-11-12",7.42,"adult"
"Babynumbies2017","BNum17",2017-09-25,NA,"2017-09-25",5.55,"adult"
"Babynumbies2019","BNum19",2019-10-03,NA,"2019-10-03",3.52,"juvenile"
"Babynurks2018","BNur18",2018-11-14,NA,"2018-11-14",4.41,"adult"
"Babynyanga2018","BNya18",2018-12-24,NA,"2018-12-24",4.3,NA
"Babynyanga2020","BNya20",2020-11-21,NA,"2020-11-21",2.38,"juvenile"
"Babyoahu2015","BOah15",NA,NA,NA,NA,NA
"Babyoahu2017","BOah17",2017-10-10,NA,"2017-10-10",5.5,"adult"
"Babyoerw2021","BOer21",2021-12-06,NA,"2021-12-06",1.34,"juvenile"
"Babyouli2021","BOul21",2021-10-09,NA,"2021-10-09",1.5,"juvenile"
"Babypannekoekie2014","BPan14",2014-11-03,NA,"2014-11-03",8.45,"adult"
"Babypannekoekie2017","BPan17",2017-10-12,NA,"2017-10-12",5.5,"adult"
"Babypannekoekie2019","BPan19",2019-11-04,NA,"2019-11-04",3.43,"juvenile"
"Babypearl2015","BPear15",2015-12-03,NA,"2015-12-03",7.36,"adult"
"Babypotjie2019","BPot19",2019-10-25,NA,"2019-10-25",3.46,"juvenile"
"Babypretoria2019","BPre19",2019-11-06,NA,"2019-11-06",3.43,"juvenile"
"Babypret2021","BPre21",2021-10-05,NA,"2021-10-05",1.51,"juvenile"
"Babypuolka2019","BPuo19",2019-10-22,NA,"2019-10-22",3.47,"juvenile"
"Babyredelik2019","BRed19",2019-10-19,NA,"2019-10-19",3.48,"juvenile"
"Babyrenn2020","BRen20",2020-11-22,NA,"2020-11-22",2.38,"juvenile"
"Babyreva2019","BRev19",2019-10-23,NA,"2019-10-23",3.46,"juvenile"
"Babyrosl2020","BRos20",2020-11-03,NA,"2020-11-03",2.43,"juvenile"
"Babyroxanne2017","BRox17",2017-10-16,NA,"2017-10-16",5.49,"adult"
"Babyruby2017","BRub17",2017-11-03,NA,"2017-11-03",5.44,"adult"
"Babysiele2016","BSie16",2016-11-30,NA,"2016-11-30",6.37,"adult"
"Babysnortjie2015","BSno15",2015-11-06,NA,"2015-11-06",7.44,"adult"
"Babysuzy2014","BSuz14",2014-10-11,NA,"2014-10-11",8.51,"adult"
"Babytip2012","BTip12",2012-10-09,NA,"2012-10-09",10.52,"adult"
"Babytonga2015","BTon15",2015-11-27,NA,"2015-11-27",7.38,"adult"
"Babytroi2015","BTro15",2015-10-22,NA,"2015-10-22",7.48,"adult"
"Babyumnak2015","BUmn15",2015-11-28,NA,"2015-11-28",7.38,"adult"
"Babyupp2012","BUpp12",2012-10-19,NA,"2012-10-19",10.49,"adult"
"Babyvict2014","BVic14",2014-10-28,NA,"2014-10-28",8.46,"adult"
"Babywietnie2013","BWie13",2013-11-12,NA,"2013-11-12",9.42,"adult"
"Babyxalapa2018","BXal18",2019-01-21,NA,"2019-01-21",4.22,NA
"Babyxalapa2019","BXal19",2019-10-30,NA,"2019-10-30",3.45,"juvenile"
"Babyxian2019","BXia19",2019-10-24,NA,"2019-10-24",3.46,"juvenile"
"Babyyaou2014","BYao14",2014-10-09,NA,"2014-10-09",8.52,"adult"
"Babyzeia2015","BZei15",2015-10-15,NA,"2015-10-15",7.5,"adult"
"Babelas","Bab",NA,2010-11-09,"2009-11-01",NA,"adult"
"Bahamas","Baha",NA,2021-11-27,"2021-11-27",NA,"juvenile"
"Bali","Bali",NA,2018-04-09,"2018-04-09",NA,"adult"
"Bamako","Bam",2011-11-01,2011-11-01,"2011-11-01",11.46,"adult"
"Bangalore","Bang",2020-11-26,2020-11-26,"2020-11-26",2.37,"juvenile"
"Barbados","Barb",NA,2015-10-08,"2015-10-08",NA,"adult"
"Bari","Bari",2015-11-18,2015-11-18,"2015-11-18",7.4,"adult"
"Barry","Barr",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Base","Bas",NA,2015-02-25,"2013-04-29",NA,"adult"
"Beirut","Beir",2018-12-03,2018-12-03,"2018-12-03",4.35,"adult"
"Belabela","Bela",2014-11-29,NA,"2014-11-29",8.38,"adult"
"Beminde","Bemi",NA,2010-11-23,"2007-11-01",NA,"adult"
"Benedict","Ben",NA,2018-06-08,"2014-06-08",NA,"adult"
"Bermuda","Ber",NA,2016-02-29,"2014-11-01",NA,"adult"
"Bethlehem","Bet",2021-11-08,2021-11-08,"2021-11-08",1.41,"juvenile"
"Bigears","BigEars",NA,NA,NA,NA,NA
"Bingo","Bin",NA,2011-04-25,"2009-11-01",NA,"adult"
"Babykodiak2020","Bkod20",NA,NA,NA,NA,NA
"Blupblup","Blu",NA,NA,NA,NA,NA
"Bocold","Boc",NA,2014-12-31,"2010-12-31",NA,"adult"
"Bogota","Bogo",NA,2011-03-05,"2011-03-05",NA,"adult"
"Boks","Bok",NA,2010-11-09,"2006-11-09",NA,"adult"
"Bongani","Bon",NA,2012-01-28,"2008-01-28",NA,"adult"
"Boston","Bos",2013-10-28,2013-10-28,"2013-10-28",9.47,"adult"
"Bougainville","Bou",NA,2021-03-24,"2008-11-01",NA,"adult"
"Brasilia","Bras",NA,2011-12-16,"2011-12-16",NA,"adult"
"Brisbane","Bri",2015-11-10,2015-11-10,"2015-11-10",7.43,"adult"
"Brucespringsteen","Bru",NA,NA,NA,NA,NA
"Bryan","Bry",NA,2011-01-16,"2007-01-16",NA,"adult"
"Bukubuku","Buk",NA,2021-05-11,"2017-05-11",NA,"adult"
"Bullebak","Bul",2012-10-01,2012-10-01,"2012-10-01",10.54,"adult"
"Bushy","Bush",NA,2012-11-15,"2012-11-15",NA,"adult"
"Babyyalu2020","Byalu",2020-12-01,NA,"2020-12-01",2.35,"juvenile"
"Byron","Byr",NA,2011-11-21,"2007-11-01",NA,"adult"
"Cairo","Cairo",NA,2023-03-25,"2019-03-25",NA,"sub-adult"
"Cameron","Cam",NA,2017-10-05,"2016-11-01",NA,"adult"
"Camilla","Cami",NA,2013-11-27,"2011-11-01",NA,"adult"
"Cancun","Can",NA,2013-06-28,"2009-06-28",NA,"adult"
"Capri","Cap",NA,2022-03-28,"2022-03-28",NA,"juvenile"
"Cayman","Cay",NA,2021-05-19,"2021-05-19",NA,"juvenile"
"Charles","Cha",NA,2011-11-21,"2009-11-01",NA,"adult"
"Chernobyl","Che",NA,2012-04-28,"2008-04-28",NA,"adult"
"Chiloe","Chil",NA,2015-01-06,"2015-01-06",NA,"adult"
"Cindylauper","Cind",NA,NA,NA,NA,NA
"Circe","Circ",NA,2022-06-28,NA,NA,NA
"Clarence","Clar",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Colorado","Col",NA,2015-05-25,"2011-05-25",NA,"adult"
"Collin","Col",NA,NA,NA,NA,NA
"Cone","Con",NA,2014-12-30,"2011-11-01",NA,"adult"
"Cuba","Cuba",NA,2015-01-06,"2012-11-01",NA,"adult"
"Curaco","Cur",NA,2012-04-14,"2010-11-01",NA,"adult"
"Cusco","Cus",NA,2018-05-21,"2014-05-21",NA,"adult"
"Daartagnan","Daa",2017-11-02,2017-11-02,"2017-11-02",5.44,"adult"
"Daenerys","Daen",NA,2015-08-20,"2015-08-20",NA,"adult"
"Dagga","Dagg",NA,2011-04-07,"2011-04-07",NA,"adult"
"Daila","Dail",2021-11-20,2021-11-20,"2021-11-20",1.38,"juvenile"
"Daisy","Dais",NA,2014-08-26,"2014-08-26",NA,"adult"
"Dakar","Dak",NA,2022-09-10,"2018-09-10",NA,"sub-adult"
"Dalton","Dal",2018-11-28,2018-11-28,"2018-11-28",4.37,"sub-adult"
"Danube","Dan",NA,2012-05-25,"2008-05-25",NA,"adult"
"Danielle","Dani",2021-11-22,2021-11-22,"2021-11-22",1.38,"juvenile"
"Dapper","Dap",NA,2014-07-01,"2010-07-01",NA,"adult"
"Darwin","Dar",NA,2012-07-31,"2010-11-01",NA,"adult"
"Dastard","Das",2019-11-01,2019-11-01,"2019-11-01",3.44,"juvenile"
"Dazzle","Dazz",2020-11-20,2020-11-20,"2020-11-20",2.38,"juvenile"
"Deja","Deja",2020-12-07,2020-12-07,"2020-12-07",2.34,"juvenile"
"Delux","Del",2021-12-11,2021-12-11,"2021-12-11",1.32,"juvenile"
"Delilah","Deli",2012-10-08,2012-10-08,"2012-10-08",10.52,"adult"
"Delta","Delt",2020-12-11,2020-12-11,"2020-12-11",2.33,"juvenile"
"Derrick","Der",2021-12-11,2021-12-11,"2021-12-11",1.32,"juvenile"
"Dewey","Dewe",2017-01-04,2017-01-04,"2017-01-04",6.27,"adult"
"Dexter","Dext",2017-11-30,2017-11-30,"2017-11-30",5.36,"adult"
"Diamond","Dia",2020-10-29,2020-10-29,"2020-10-29",2.44,"juvenile"
"Diana","Dian",NA,2011-02-19,"2011-02-19",NA,"adult"
"Digby","Digb",2014-01-08,2014-01-08,"2014-01-08",9.27,"adult"
"Dillon","Dil",2016-12-05,2016-12-05,"2016-12-05",6.35,"adult"
"Dion","Dio",2015-12-12,2015-12-12,"2015-12-12",7.34,"adult"
"Disco","Dis",2021-11-21,2021-11-21,"2021-11-21",1.38,"juvenile"
"Dixon","Dix",2018-11-11,2018-11-11,"2018-11-11",4.41,"sub-adult"
"Dodgyknee","Dodg",NA,NA,NA,NA,NA
"Dokos","Dok",NA,2017-08-22,"2014-11-01",NA,"adult"
"Donsig","Don",NA,2011-04-07,"2009-11-01",NA,"adult"
"Doreen","Dore",2017-12-29,2017-12-29,"2017-12-29",5.28,"adult"
"Doublespot","Dou",NA,NA,NA,NA,NA
"Downlip","Dow",NA,NA,NA,NA,NA
"Drew","Drew",NA,2010-12-13,"2008-11-01",NA,"adult"
"Dublin","Dub",NA,2010-11-08,"2006-11-08",NA,"adult"
"Duckie","Duc",NA,2021-05-27,"2021-05-27",NA,"juvenile"
"Dulcina","Dulc",NA,2015-10-08,"2015-10-08",NA,"adult"
"Dwergie","Dwe",NA,2010-12-01,"2010-11-01",NA,"adult"
"Easter","East",NA,2018-04-09,"2018-04-09",NA,"adult"
"Edward","Edw",NA,2012-06-12,"2008-06-12",NA,"adult"
"Eier","Eie",2021-11-02,2021-11-02,"2021-11-02",1.43,"juvenile"
"Eina","Eina",2014-10-18,2014-10-18,"2014-10-18",8.49,"adult"
"Eish","Eis",2020-11-21,2020-11-21,"2020-11-21",2.38,"juvenile"
"Eivissa","Eiv",NA,2022-06-09,"2018-06-09",NA,"sub-adult"
"Ekse","Ekse",2022-12-07,2022-12-07,"2022-12-07",0.33,"baby"
"Elbar","Elba",NA,2021-07-28,"2021-07-28",NA,"juvenile"
"Ellesmere","Elle",NA,2014-12-30,"2014-12-30",NA,"adult"
"Elton","Elt",NA,2011-06-09,"2006-11-01",NA,"adult"
"Elvispresley","Elv",NA,NA,NA,NA,NA
"Emma","Emma",NA,2011-12-16,"2011-12-16",NA,"adult"
"Engel","Enge",NA,2011-04-07,"2009-11-01",NA,"adult"
"Ermelo","Erm",NA,2022-06-16,"2018-06-16",NA,"sub-adult"
"Ertjies","Ert",NA,2011-04-07,"2008-04-26",NA,"adult"
"Etosha","Eto",NA,2021-06-02,"2017-06-02",NA,"adult"
"Evanescence","Evan",NA,2011-11-01,"2011-11-01",NA,"adult"
"Everest","Eve",NA,2015-11-14,"2011-11-14",NA,"adult"
"Faroe","Far",2014-10-28,2014-10-28,"2014-10-28",8.46,"adult"
"Feekie","Feek",NA,2010-11-10,"2008-11-01",NA,"adult"
"Feniks","Fen",NA,2017-09-01,"2013-09-01",NA,"adult"
"Fergie","Ferg",NA,NA,NA,NA,NA
"Fiji","Fiji",NA,2018-04-12,"2018-04-12",NA,"adult"
"Flatty","Fla",NA,2015-01-06,"2011-11-01",NA,"adult"
"Flensburg","Fle",NA,2020-06-16,"2016-06-16",NA,"adult"
"Fluister","Flu",NA,2019-04-30,"2015-04-30",NA,"adult"
"Foei","Foei",NA,2010-11-09,"2010-11-09",NA,"adult"
"Formentera","Form",NA,2014-10-28,"2014-10-28",NA,"adult"
"Freyja","Frey",NA,2022-06-28,NA,NA,NA
"Fudu","Fud",NA,2013-06-11,"2009-06-11",NA,"adult"
