"AnimalID","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Okavango","Oka",NA,2015-05-04,"2011-05-04",NA,"adult"
"Okefenokee","Oke",NA,2021-05-31,"2017-05-31",NA,"adult"
"Okucane","Oku",NA,2011-01-18,"2007-11-01",NA,"adult"
"Oliver","Oli",2009-12-01,2014-02-04,"2009-12-01",13.38,"adult"
"Olona","Olo",NA,2015-04-03,"2011-04-03",NA,"adult"
"Olyf","Olyf",2022-11-15,2022-11-15,"2022-11-15",0.39,"baby"
"Omelet","Ome",2021-11-04,2021-11-04,"2021-11-04",1.42,"juvenile"
"Onbeskof","Onb",2012-10-19,2012-10-19,"2012-10-19",10.49,"adult"
"Oom","Oom",NA,2010-12-24,"2006-12-24",NA,"adult"
"Oortjies","Oort",2015-11-20,2015-11-20,"2015-11-20",7.4,"adult"
"Oscar","Osc",NA,2018-06-07,"2014-06-07",NA,"adult"
"Otter","Ott",2022-12-26,2022-12-26,"2022-12-26",0.28,"baby"
"Ouagadougou","Oua",NA,2019-06-03,"2015-06-03",NA,"adult"
"Oulik","Ouli",NA,2010-11-09,"2010-11-09",NA,"adult"
"Ouma","Ouma",2020-11-18,2020-11-18,"2020-11-18",2.39,"juvenile"
"Oupa","Oup",2020-11-13,2020-11-13,"2020-11-13",2.4,"juvenile"
"Padkos","Padk",2021-10-27,2021-10-27,"2021-10-27",1.45,"juvenile"
"Pale","Pal",NA,2014-12-30,"2012-11-01",NA,"adult"
"Palmela","Palm",2020-12-17,2020-12-17,"2020-12-17",2.31,"juvenile"
"Pandora","Pand",NA,2022-06-28,NA,NA,NA
"Pannekoekie","Pann",NA,2010-12-01,"2010-12-01",NA,"adult"
"Papsak","Pap",2015-11-12,2015-11-12,"2015-11-12",7.42,"adult"
"Papp","Papp",2020-11-04,2020-11-04,"2020-11-04",2.43,"juvenile"
"Paris","Pari",NA,2010-11-08,"2010-11-08",NA,"adult"
"Patlansky","Pat",NA,NA,NA,NA,NA
"Pearl","Pear",NA,2013-04-24,"2013-04-24",NA,"adult"
"Persephone","Pers",NA,2022-11-25,NA,NA,NA
"Pianosa","Pia",NA,2015-09-26,"2011-09-26",NA,"adult"
"Piesang","Pie",2021-10-18,2021-10-18,"2021-10-18",1.47,"juvenile"
"Pieperig","Piep",NA,2013-01-18,"2013-01-18",NA,"adult"
"Pik","Pik",NA,2010-11-09,"2006-11-09",NA,"adult"
"Pikito","Pik",NA,2012-05-09,"2009-11-01",NA,"adult"
"Pikkewyn","Pikk",2022-12-10,2022-12-10,"2022-12-10",0.32,"baby"
"Pink","Pink",NA,2010-12-13,"2010-12-13",NA,"adult"
"Pitcairn","Pit",NA,NA,NA,NA,NA
"Pixsel","Pix",2018-12-20,2018-12-20,"2018-12-20",4.31,"sub-adult"
"Pizza","Piz",NA,2014-12-30,"2013-11-01",NA,"adult"
"Plainjane","Pla",NA,NA,NA,NA,NA
"Plesier","Ples",2014-10-20,2014-10-20,"2014-10-20",8.49,"adult"
"Poeding","Poe",2011-11-11,2011-11-11,"2011-11-11",11.43,"adult"
"Pofferthie","Poff",2018-10-26,2018-10-26,"2018-10-26",4.46,"adult"
"Pointy","Poi",NA,2015-01-12,"2013-04-26",NA,"adult"
"Pointyears","PointyEars",NA,NA,NA,NA,NA
"Pomelo","Pom",2017-10-19,2017-10-19,"2017-10-19",5.48,"adult"
"Poppie","Popp",2020-11-12,2020-11-12,"2020-11-12",2.4,"juvenile"
"Potjie","Potj",2013-11-23,2013-11-23,"2013-11-23",9.39,"adult"
"Praia","Prai",2013-11-19,2013-11-19,"2013-11-19",9.41,"adult"
"Pratella","Prat",2018-11-17,2018-11-17,"2018-11-17",4.4,"adult"
"Pretoria","Pret",NA,2011-12-16,"2011-12-16",NA,"adult"
"Primavera","Prim",2021-10-28,2021-10-28,"2021-10-28",1.44,"juvenile"
"Prinses","Prin",NA,2010-11-09,"2010-11-09",NA,"adult"
"Propriano","Pro",2014-11-19,2014-11-19,"2014-11-19",8.4,"adult"
"Pruszkow","Pru",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Pruin","Prui",2022-11-22,2022-11-22,"2022-11-22",0.37,"baby"
"Puerto","Pue",2011-12-27,2011-12-27,"2011-12-27",11.31,"adult"
"Puntag","Pun",NA,2018-03-02,"2014-03-02",NA,"adult"
"Puolka","Puol",2015-12-28,2015-12-28,"2015-12-28",7.29,"adult"
"Purper","Pur",2021-11-05,2021-11-05,"2021-11-05",1.42,"juvenile"
"Puymerl","Puym",2018-11-07,NA,"2018-11-07",4.43,"adult"
"Pyeongchang","Pye",2017-10-23,2017-10-23,"2017-10-23",5.47,"adult"
"Queen","Quee",NA,2011-01-19,"2005-11-01",NA,"adult"
"Quito","Qui",NA,2010-12-15,"2007-11-19",NA,"adult"
"Rabat","Raba",2016-11-23,2016-11-23,"2016-11-23",6.39,"adult"
"Radja","Rad",NA,2010-12-13,"2007-11-25",NA,"adult"
"Rafaela","Rafa",2021-11-02,2021-11-02,"2021-11-02",1.43,"juvenile"
"Rakker","Rak",2012-11-16,2012-11-16,"2012-11-16",10.42,"adult"
"Rambouillet","Ram",2018-11-09,2018-11-09,"2018-11-09",4.42,"sub-adult"
"Raspberry","Rasp",NA,2015-11-13,"2011-11-01",NA,"adult"
"Ratel","Rat",2015-11-30,2015-11-30,"2015-11-30",7.37,"adult"
"Redhot","Red",NA,NA,NA,NA,NA
"Redelik","Rede",2014-11-10,2014-11-10,"2014-11-10",8.43,"adult"
"Reenval","Ree",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Reenboog","Reen",2018-12-12,2018-12-12,"2018-12-12",4.33,"adult"
"Regina","Regi",2018-11-15,2018-11-15,"2018-11-15",4.4,"adult"
"Reindeer","Rein",NA,2016-11-01,"2014-11-01",NA,"adult"
"Reno","Ren",2019-11-12,2019-11-12,"2019-11-12",3.41,"juvenile"
"Renee","Rene",2016-11-01,2016-11-01,"2016-11-01",6.45,"adult"
"Rennes","Renn",2013-11-15,2013-11-15,"2013-11-15",9.42,"adult"
"Renoster","Reno",2021-11-15,2021-11-15,"2021-11-15",1.39,"juvenile"
"Revdanda","Rev",2017-11-16,2017-11-16,"2017-11-16",5.4,"adult"
"Reva","Reva",2011-11-21,2011-11-21,"2011-11-21",11.41,"adult"
"Reykjavik","Rey",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Rheban","Rhe",2012-10-27,2012-10-27,"2012-10-27",10.47,"adult"
"Richard","Ric",2015-11-12,2015-11-12,"2015-11-12",7.42,"adult"
"Ridder","Rid",2018-11-14,2018-11-14,"2018-11-14",4.41,"sub-adult"
"Rimini","Rim",2021-01-11,2021-01-11,"2021-01-11",2.24,"juvenile"
"Rimpel","Rimp",2021-11-18,2021-11-18,"2021-11-18",1.39,"juvenile"
"Rio","Rio",NA,2011-12-16,"2011-12-16",NA,"adult"
"Rioja","Rioj",2017-11-03,2017-11-03,"2017-11-03",5.44,"adult"
"Rishikesh","Ris",2022-12-14,2022-12-14,"2022-12-14",0.31,"baby"
"Rissiepit","Riss",NA,2011-04-26,"2006-11-01",NA,"adult"
"Riversdale","Riv",2020-11-16,2020-11-16,"2020-11-16",2.39,"juvenile"
"Rivas","Riva",2021-11-08,2021-11-08,"2021-11-08",1.41,"juvenile"
"Rivier","Rivi",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Riyadh","Riy",2014-11-04,2014-11-04,"2014-11-04",8.44,"adult"
"Robin","Rob",2016-10-20,2016-10-20,"2016-10-20",6.48,"adult"
"Robben","Robb",NA,2015-09-29,"2015-09-29",NA,"adult"
"Rocky","Roc",2017-10-09,2017-10-09,"2017-10-09",5.51,"adult"
"Rochdale","Roc",2018-11-01,2018-11-01,"2018-11-01",4.44,"sub-adult"
"Roeslare","Roes",2020-11-19,2020-11-19,"2020-11-19",2.39,"juvenile"
"Roma","Roma",NA,2010-11-08,"2010-11-08",NA,"adult"
"Rooikat","Roo",2011-12-05,2011-12-05,"2011-12-05",11.37,"adult"
"Rooibos","Rooi",2022-12-17,2022-12-17,"2022-12-17",0.3,"baby"
"Rosyn","Ros",2022-12-07,2022-12-07,"2022-12-07",0.33,"baby"
"Rosemary","Rose",2011-12-01,NA,"2011-12-01",11.38,"adult"
"Roslin","Rosl",2015-11-23,2015-11-23,"2015-11-23",7.39,"adult"
"Roxanne","Roxa",2014-10-30,2014-10-30,"2014-10-30",8.46,"adult"
"Ruby","Ruby",NA,2012-11-08,"2012-11-08",NA,"adult"
"Rupert","Rup",2014-10-18,2014-10-18,"2014-10-18",8.49,"adult"
"Rusk","Rus",NA,2011-06-04,"2007-06-04",NA,"adult"
"Rustig","Rust",2017-10-21,2017-10-21,"2017-10-21",5.47,"adult"
"Ryan","Rya",NA,2022-07-06,"2018-07-06",NA,"sub-adult"
"Sma","SMA",NA,NA,NA,NA,NA
"Safari","Safa",2014-11-03,2014-11-03,"2014-11-03",8.45,"adult"
"Samoa","Samo",NA,2014-12-31,"2014-12-31",NA,"adult"
"Sampion","Samp",2021-11-22,2021-11-22,"2021-11-22",1.38,"juvenile"
"Sari","Sari",2017-09-30,2017-09-30,"2017-09-30",5.53,"adult"
"Schnauzli","Schn",NA,2016-02-11,"2016-02-11",NA,"adult"
"Selenge","Sel",NA,2012-08-10,"2008-08-10",NA,"adult"
"Seychelles","Sey",NA,2014-12-31,"2014-11-01",NA,"adult"
"Shakespeare","Sha",NA,2012-06-08,"2008-06-08",NA,"adult"
"Shitface","Shi",2011-12-01,2014-01-28,"2011-12-01",11.38,"adult"
"Shongololo","Sho",NA,2020-10-13,"2016-10-13",NA,"adult"
"Siele","Siel",2012-10-01,2012-10-01,"2012-10-01",10.54,"adult"
"Sigaret","Sig",2018-11-09,2018-11-09,"2018-11-09",4.42,"sub-adult"
"Sion","Sio",NA,2021-01-06,"2017-01-06",NA,"adult"
"Sirkus","Sirk",2017-10-21,2017-10-21,"2017-10-21",5.47,"adult"
"Sitrus","Sitr",2021-11-18,2021-11-18,"2021-11-18",1.39,"juvenile"
"Skemer","Skem",2018-11-01,2018-11-01,"2018-11-01",4.44,"adult"
"Skhumbuzo","Skh",NA,2021-06-15,"2017-06-15",NA,"adult"
"Skin","Skin",NA,2010-12-13,"2010-12-13",NA,"adult"
"Skollie","Sko",NA,2010-11-09,"2006-11-09",NA,"adult"
"Slang","Sla",2021-11-09,2021-11-09,"2021-11-09",1.41,"juvenile"
"Smashy","Smas",NA,2015-06-16,"2015-06-16",NA,"adult"
"Snortjie","Snor",NA,2011-04-19,"2011-04-19",NA,"adult"
"Solomon","Sol",NA,2014-12-30,"2010-12-30",NA,"adult"
"Spampounkoeki","Spam",2018-11-01,2018-11-01,"2018-11-01",4.44,"adult"
"Spanspek","Span",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Spek","Spe",2021-11-13,2021-11-13,"2021-11-13",1.4,"juvenile"
"Spotted","Spo",NA,2011-09-29,"2009-11-01",NA,"adult"
"Spook","Spo",NA,2011-10-18,"2011-10-18",NA,"adult"
"Stanley","Sta",NA,2022-07-29,"2018-07-29",NA,"sub-adult"
"Styx","Sty",NA,2012-04-14,"2009-11-01",NA,"adult"
"Sumbawa","Sumb",NA,2015-01-19,"2015-01-19",NA,"adult"
"Suzy","Suzy",NA,2011-06-01,"2011-06-01",NA,"adult"
"Sylinder","Syl",2020-11-24,2020-11-24,"2020-11-24",2.37,"juvenile"
"Symetric","Sym",NA,2015-01-09,"2014-11-01",NA,"adult"
"Talinn","Tal",2011-12-04,2011-12-04,"2011-12-04",11.37,"adult"
"Tambacounda","Tam",NA,2020-05-15,"2016-05-15",NA,"adult"
"Tanganika","Tang",NA,2012-03-13,"2012-03-13",NA,"adult"
"Tannie","Tann",NA,2010-11-26,"2010-11-26",NA,"adult"
"Tastyflavours","Tas",NA,NA,NA,NA,NA
"Tasmania","Tas",NA,NA,"2014-11-01",NA,"adult"
"Tchakalaka","Tch",NA,2021-05-11,"2017-05-11",NA,"adult"
"Teddibeer","Ted",2014-11-12,2014-11-12,"2014-11-12",8.42,"adult"
"Tere","Tere",2009-12-01,2014-05-30,"2009-12-01",13.38,"adult"
"Tevere","Tev",NA,2021-05-31,"2017-05-31",NA,"adult"
"Thames","Tha",NA,2014-11-19,"2010-11-19",NA,"adult"
"Theodore","The",NA,2011-08-09,"2007-08-09",NA,"adult"
"Tiki","Tik",NA,2021-11-30,"2021-11-30",NA,"juvenile"
"Timber","Timb",2017-10-16,2017-10-16,"2017-10-16",5.49,"adult"
"Tipies","Tipi",NA,2011-04-26,"2007-11-01",NA,"adult"
"Tirroan","Tir",2012-10-11,2012-10-11,"2012-10-11",10.51,"adult"
"Tonga","Tong",NA,2015-01-06,"2015-01-06",NA,"adult"
"Toronto","Tor",NA,2011-12-16,"2010-06-11",NA,"adult"
"Tortuga","Tort",NA,2015-07-22,"2012-11-01",NA,"adult"
"Toulouse","Tou",2014-10-30,2014-10-30,"2014-10-30",8.46,"adult"
"Troia","Troi",NA,2010-11-08,"2010-11-08",NA,"adult"
"Tugela","Tug",NA,2012-07-03,"2011-11-01",NA,"adult"
"Tunis","Tun",NA,2011-06-25,"2007-11-26",NA,"adult"
"Tweed","Twe",NA,2012-04-20,"2010-11-01",NA,"adult"
"Tyler","Tyl",NA,2017-05-22,"2013-05-22",NA,"adult"
"Ububhibhi","Ubu",2011-11-21,2011-11-21,"2011-11-21",11.41,"adult"
"Udine","Udi",2022-11-30,2022-11-30,"2022-11-30",0.35,"baby"
"Udupi","Udup",2021-01-19,2021-01-19,"2021-01-19",2.22,"juvenile"
"Uji","Uji",2013-10-31,2013-10-31,"2013-10-31",9.46,"adult"
"Ulaanbaatar","Ula",2015-11-16,2015-11-16,"2015-11-16",7.41,"adult"
"Ulaka","Ulak",NA,2010-12-18,"2006-11-01",NA,"adult"
"Ulsan","Uls",2018-11-01,2018-11-01,"2018-11-01",4.44,"sub-adult"
"Ulundi","Ulu",2011-12-01,2011-12-01,"2011-12-01",11.38,"adult"
"Umbrella","Umb",NA,2016-10-19,"2014-11-01",NA,"adult"
"Umnak","Umna",NA,2015-02-11,"2015-02-11",NA,"adult"
"Umtata","Umt",2014-12-08,2014-12-08,"2014-12-08",8.35,"adult"
"Umzali","Umz",NA,2014-06-09,"2010-06-09",NA,"adult"
"Unwabo","Unw",2012-10-22,2012-10-22,"2012-10-22",10.48,"adult"
"Uppsala","Upps",NA,2010-11-08,"2010-11-08",NA,"adult"
"Uraniumcity","Ura",2017-10-09,NA,"2017-10-09",5.51,"adult"
"Utica","Utic",2021-11-06,2021-11-06,"2021-11-06",1.42,"juvenile"
"Utrecht","Utr",NA,2020-05-15,"2016-05-15",NA,"adult"
"Uvac","Uva",NA,2012-08-01,"2008-08-01",NA,"adult"
"Vakie","Vak",2011-11-17,2011-11-17,"2011-11-17",11.42,"adult"
"Valerie","Vale",2012-09-24,2012-09-24,"2012-09-24",10.56,"adult"
"Vance","Van",2013-12-01,2014-09-20,"2013-12-01",9.37,"adult"
"Vancouver","Van",NA,2015-09-01,"2011-09-01",NA,"adult"
"Vascorossi","Vas",NA,NA,NA,NA,NA
"Venezia","Vene",NA,2011-02-19,"2011-02-19",NA,"adult"
"Vesuvio","Ves",NA,NA,NA,NA,NA
"Victoria","Vict",NA,2011-12-16,"2011-12-16",NA,"adult"
"Vincent","Vin",NA,2011-10-01,"2011-11-01",NA,"adult"
"Vladivostok","Vla",NA,2020-05-28,"2016-05-28",NA,"adult"
"Voldemort","Vol",NA,2012-02-03,"2008-02-03",NA,"adult"
"Vroutjie","Vrou",NA,2011-04-26,"2011-04-26",NA,"adult"
"Vryheid","Vry",NA,2022-06-10,"2018-06-10",NA,"sub-adult"
"Vulkaan","Vul",2012-11-14,2012-11-14,"2012-11-14",10.42,"adult"
"Warnemünde","War",NA,2020-08-24,"2016-08-24",NA,"adult"
"Washingtonbabylon","Was",NA,NA,NA,NA,NA
"Watnou","Watn",NA,2011-12-09,"2011-11-01",NA,"adult"
"Wavyears","WavyEars",NA,NA,NA,NA,NA
"Wesley","Wes",NA,2015-05-20,"2011-05-20",NA,"adult"
"Whidbey","Whid",NA,2016-10-01,"2016-10-01",NA,"adult"
"Whiskers","Whis",NA,2015-01-06,"2012-11-01",NA,"adult"
"Wierdo","Wier",NA,NA,NA,NA,NA
"Wietnie","Wiet",NA,2011-05-09,"2011-05-09",NA,"adult"
"William","Wil",NA,2011-01-19,"2007-01-19",NA,"adult"
"Wolfie","Wol",NA,2010-12-01,"2010-11-01",NA,"adult"
"Wurm","Wur",2012-10-18,2012-10-18,"2012-10-18",10.5,"adult"
"Xai","Xai",NA,2010-11-22,"2007-11-01",NA,"adult"
"Xaixai","Xaix",NA,NA,NA,NA,NA
"Xaltepec","Xal",2017-11-18,2017-11-18,"2017-11-18",5.4,"adult"
"Xalapa","Xala",2013-11-20,2013-11-20,"2013-11-20",9.4,"adult"
"Xarès","Xar",2021-11-08,2021-11-08,"2021-11-08",1.41,"juvenile"
"Xativa","Xati",2022-12-07,2022-12-07,"2022-12-07",0.33,"baby"
"Xenia","Xeni",2020-11-03,2020-11-03,"2020-11-03",2.43,"juvenile"
"Xeres","Xer",2011-11-29,2011-11-29,"2011-11-29",11.39,"adult"
"Xiashan","Xia",2016-11-14,2016-11-14,"2016-11-14",6.41,"adult"
"Xian","Xian",2012-11-05,2012-11-05,"2012-11-05",10.45,"adult"
"Xihau","Xih",2021-10-21,2021-10-21,"2021-10-21",1.46,"juvenile"
"Xinji","Xin",2017-10-20,2017-10-20,"2017-10-20",5.48,"adult"
"Xinpu","Xinp",2018-10-28,2018-10-28,"2018-10-28",4.45,"adult"
"Xinyi","Xiny",2014-11-14,2014-11-14,"2014-11-14",8.42,"adult"
"Xiushan","Xiu",NA,2015-01-06,"2011-01-06",NA,"adult"
"Xopo","Xop",2020-11-23,2020-11-23,"2020-11-23",2.37,"juvenile"
"Xoxocotla","Xox",2010-11-15,2010-11-15,"2010-11-15",12.43,"adult"
"Yakima","Yaki",2022-11-17,2022-11-17,"2022-11-17",0.39,"baby"
"Yalu","Yalu",NA,2013-02-09,"2013-02-09",NA,"adult"
"Yamp","Yam",2021-11-16,2021-11-16,"2021-11-16",1.39,"juvenile"
"Yamuna","Yamu",2016-11-23,2016-11-23,"2016-11-23",6.39,"adult"
"Yangtze","Yan",2014-01-27,2014-01-27,"2014-01-27",9.22,"adult"
"Yaounde","Yaou",NA,2011-01-18,"2011-01-18",NA,"adult"
"Yara","Yara",2017-11-11,2017-11-11,"2017-11-11",5.42,"adult"
"Yazoo","Yaz",2018-11-14,2018-11-14,"2018-11-14",4.41,"sub-adult"
"Yell","Yel",NA,2015-11-28,"2011-11-28",NA,"adult"
"Yellowstone","Yelo",2018-12-04,2018-12-04,"2018-12-04",4.35,"adult"
"Yenissei","Yeni",NA,2013-01-28,"2013-01-28",NA,"adult"
"Yentna","Yent",2022-11-14,2022-11-14,"2022-11-14",0.4,"baby"
"Yodo","Yodo",2021-10-03,2021-10-03,"2021-10-03",1.51,"juvenile"
"Yonne","Yon",2020-11-12,2020-11-12,"2020-11-12",2.4,"juvenile"
"Yoogali","Yoog",2012-09-22,2012-09-22,"2012-09-22",10.57,"adult"
"Yster","Yst",NA,2010-11-17,"2006-11-17",NA,"adult"
"Yub","Yub",2021-12-21,2021-12-21,"2021-12-21",1.3,"juvenile"
"Yuba","Yuba",2022-11-19,2022-11-19,"2022-11-19",0.38,"baby"
"Yukon","Yuko",2016-11-09,2016-11-09,"2016-11-09",6.42,"adult"
"Yzeron","Yze",2017-11-20,2017-11-20,"2017-11-20",5.39,"adult"
"Zaire","Zair",NA,2013-02-08,"2013-02-08",NA,"adult"
"Zambezi","Zam",NA,2012-05-09,"2011-11-01",NA,"adult"
"Zanzibar","Zan",2013-11-25,2013-11-25,"2013-11-25",9.39,"adult"
"Zankara","Zank",2013-11-11,2013-11-11,"2013-11-11",9.43,"adult"
"Zara","Zara",NA,2010-11-08,"2010-11-08",NA,"adult"
"Zave","Zav",NA,2015-10-28,"2011-10-28",NA,"adult"
"Zeerust","Zee",NA,2011-12-16,"2011-12-16",NA,"adult"
"Zeia","Zeia",NA,2012-08-31,"2012-08-31",NA,"adult"
"Zeus","Zeu",NA,2022-06-28,"2018-06-28",NA,"sub-adult"
"Zhengzhou","Zhe",2012-11-02,2012-11-02,"2012-11-02",10.45,"adult"
"Zhukovsky","Zhu",2015-11-16,2015-11-16,"2015-11-16",7.41,"adult"
"Zinkwazi","Zink",2014-10-01,2014-10-01,"2014-10-01",8.54,"adult"
"Zion","Zio",2011-12-02,2011-12-02,"2011-12-02",11.38,"adult"
"Zuni","Zuni",NA,2021-06-01,"2021-06-01",NA,"juvenile"
"Zurich","Zur",NA,2011-12-16,"2010-05-26",NA,"adult"
"Pompon",NA,NA,2010-10-26,"2009-11-01",NA,"adult"
"2ndmj",NA,NA,NA,NA,NA,NA
"Littleskollie",NA,NA,NA,NA,NA,NA
"Littlenapoli",NA,NA,NA,NA,NA,NA
"Blacktits",NA,NA,NA,NA,NA,NA
"Littleballs",NA,NA,NA,NA,NA,NA
"Minimj",NA,NA,NA,NA,NA,NA
"Littleblind",NA,NA,NA,NA,NA,NA
"Sf1",NA,NA,NA,NA,NA,NA
"Upsidedown",NA,NA,NA,NA,NA,NA
"Littlez",NA,NA,NA,NA,NA,NA
"Kangaroo",NA,2014-10-28,2014-10-28,"2014-10-28",8.46,"adult"
"Greenland",NA,2014-11-12,2014-11-12,"2014-11-12",8.42,"adult"
"Curious",NA,NA,2014-12-30,"2011-11-01",NA,"adult"
"Themask",NA,NA,NA,NA,NA,NA
"Jalitah",NA,NA,2015-11-27,"2015-11-27",NA,"adult"
"Newmale",NA,NA,NA,NA,NA,NA
"Corfu",NA,NA,2017-12-23,"2017-12-23",NA,"adult"
"Dunston",NA,2018-11-24,2018-11-24,"2018-11-24",4.38,NA
"Bugeyes",NA,NA,NA,NA,NA,NA
"Gollum",NA,NA,NA,NA,NA,NA
"Gosh",NA,NA,NA,NA,NA,NA
"Heart",NA,NA,NA,NA,NA,NA
"Littlenotch",NA,NA,NA,NA,NA,NA
"Nostrils",NA,NA,NA,NA,NA,NA
"Sf2",NA,NA,NA,NA,NA,NA
"Smalleyes",NA,NA,NA,NA,NA,NA
