"AnimalID","Group_mb","StartDate_mb","EndDate_mb","Tenure_type"
"Disco","LT","2021-11-21","2022-03-09","BirthGroup"
"Dodgyknee","CR","2021-04-16","2022-01-03","BirthGroup"
"Doreen","LT","2017-12-29","2023-04-05","BirthGroup"
"Drew","RC","2010-12-13","2011-11-01","BirthGroup"
"Dulcina","CR","2015-10-08","2015-10-08","BirthGroup"
"Easter","CR","2018-04-09","2022-03-12","BirthGroup"
"Eier","BD","2021-11-02","2022-02-16","BirthGroup"
"Eina","BD","2014-10-18","2023-04-05","BirthGroup"
"Elbar","CR","2021-07-28","2021-09-03","BirthGroup"
"Ellesmere","CR","2014-12-30","2016-07-19","BirthGroup"
"Elvispresley","RC","2010-12-24","2011-11-11","MigrationGroup1"
"Emma","LT","2011-12-16","2013-07-04","BirthGroup"
"Engel","BD","2011-04-07","2023-04-05","BirthGroup"
"Evanescence","RC","2011-11-01","2011-11-25","BirthGroup"
"Fergie","RC",NA,"2023-04-05","BirthGroup"
"Fiji","CR","2018-04-12","2018-07-20","BirthGroup"
"Foei","BD","2010-11-09","2011-04-19","BirthGroup"
"Freyja","IF","2022-06-28","2023-04-05","BirthGroup"
"Gabaroni","NH","2022-12-15","2023-04-05","BirthGroup"
"Gabillou","NH","2016-11-14","2018-06-08","BirthGroup"
"Gagasa","AK","2011-01-18","2016-03-03","BirthGroup"
"Galapagos","CR","2015-01-06","2023-04-05","BirthGroup"
"Galati","NH","2015-10-23","2016-04-18","BirthGroup"
"Galeria","NH","2021-11-05","2023-04-05","BirthGroup"
"Gaya","NH","2011-11-14","2023-04-05","BirthGroup"
"Geleza","AK","2012-09-29","2018-01-23","BirthGroup"
"Geneva","NH","2011-01-13","2019-07-23","BirthGroup"
"Gesels","BD","2011-04-12","2023-04-05","BirthGroup"
"Ghangaan","AK","2012-01-28","2015-11-06","BirthGroup"
"Ghida","AK","2014-10-31","2023-04-05","BirthGroup"
"Gijima","AK","2022-12-29","2023-04-05","BirthGroup"
"Ginqinka","AK","2014-10-18","2023-04-05","BirthGroup"
"Gloed","BD","2022-11-04","2023-04-05","BirthGroup"
"Gobela","AK","2021-11-12","2023-04-05","BirthGroup"
"Goduka","AK","2017-10-09","2023-04-05","BirthGroup"
"Goose","CR","2017-10-10","2018-07-20","BirthGroup"
"Granada","NH","2014-12-08","2023-04-05","BirthGroup"
"Greenbay","NH","2019-11-06","2023-04-05","BirthGroup"
"Grimsby","NH","2022-11-04","2023-04-05","BirthGroup"
"Griselles","NH","2018-12-13","2023-04-05","BirthGroup"
"Grive","NH","2021-11-03","2023-04-05","BirthGroup"
"Guadalajara","NH","2022-11-08","2023-04-05","BirthGroup"
"Guatemala","NH","2016-11-22","2023-04-05","BirthGroup"
"Gubane","AK","2018-11-25","2023-02-07","BirthGroup"
"Gubha","AK","2014-11-01","2023-04-05","BirthGroup"
"Gugu","AK","2010-11-02","2021-03-18","BirthGroup"
"Gunsandroses","RC","2010-12-18","2010-12-18","MigrationGroup1"
"Gunya","AK","2016-11-16","2019-10-31","BirthGroup"
"Haaigranaat","BD","2021-11-04","2023-04-05","BirthGroup"
"Hakie","BD","2010-11-23","2014-02-12","BirthGroup"
"Halfy","LT","2014-10-18","2015-07-09","BirthGroup"
"Hamba","AK","2010-12-18","2015-08-22","BirthGroup"
"Heerlik","BD","2010-11-16","2023-04-05","BirthGroup"
"Heleza","AK","2012-05-14","2014-11-01","BirthGroup"
"Helikopter","BD","2020-11-19","2022-09-14","BirthGroup"
"Hera",NA,"2022-06-28","2023-04-05",NA
"Herskep","BD","2022-12-07","2023-04-05","BirthGroup"
"Hibiscus","BD","2016-11-30","2020-02-28","BirthGroup"
"Hippie","BD","2012-10-22","2020-03-07","BirthGroup"
"Hleka","AK","2012-01-28","2015-11-16","BirthGroup"
"Holey","CR","2021-06-01","2023-04-05","BirthGroup"
"Hondjie","BD","2016-11-29","2023-04-05","BirthGroup"
"Huge","CR","2015-01-12","2016-01-14","BirthGroup"
"Iceland","CR","2014-12-30","2018-07-18","BirthGroup"
"India","LT","2012-11-15","2017-12-19","BirthGroup"
"Jamaica","CR",NA,"2023-04-05","BirthGroup"
"Java","CR","2016-03-28","2018-07-20","BirthGroup"
"Jersey","CR","2017-10-26","2018-07-20","BirthGroup"
"Jimmyhendricks","RC","2010-12-24","2011-11-25","MigrationGroup1"
"Karenzoid","RC","2010-12-24","2010-12-24","BirthGroup"
"Kodiak","CR","2018-04-12","2023-04-05","BirthGroup"
"Kurtcubain","RC",NA,"2010-12-11","MigrationGroup1"
"Laila","LT","2018-06-11","2023-04-05","BirthGroup"
"Lampshade","LT","2019-11-07","2020-04-10","BirthGroup"
"Lancey","LT","2014-10-29","2023-04-05","BirthGroup"
"Laurel","LT","2012-11-12","2020-03-03","BirthGroup"
"Lausanne","NH","2011-03-05","2014-01-21","BirthGroup"
"Lavander","LT","2017-10-11","2019-09-27","BirthGroup"
"Lewe","BD","2018-10-26","2023-04-05","BirthGroup"
"Lilly","LT","2015-10-16","2023-04-05","BirthGroup"
"Lima","NH","2014-11-04","2021-02-23","BirthGroup"
"Lionel","CR","2014-12-31","2018-04-07","BirthGroup"
"Lizz","LT","2011-01-28","2023-04-05","BirthGroup"
"Lohihi","CR","2015-01-10","2018-07-18","BirthGroup"
"Loki","LT","2020-12-07","2023-04-05","BirthGroup"
"Lola","LT","2021-12-03","2023-04-05","BirthGroup"
"Lotus","LT","2022-12-22","2023-04-05","BirthGroup"
"Louise","LT","2016-11-09","2023-04-05","BirthGroup"
"Luna","LT","2022-12-06","2023-04-05","BirthGroup"
"Mackanzie","CR","2014-12-31","2023-04-05","BirthGroup"
"Madonna","RC",NA,"2023-04-05","BirthGroup"
"Mamoobi","AK","2011-01-18","2019-04-30","BirthGroup"
"Manhattan","CR","2016-02-11","2017-01-21","BirthGroup"
"Mara","KB","2013-05-06","2022-11-05","BirthGroup"
"Martinique","CR","2015-10-07","2015-10-07","BirthGroup"
"Mbila","AK","2018-11-05","2019-12-16","BirthGroup"
"Medjerda","KB","2012-05-09","2013-06-19","MigrationGroup1"
"Medusa","IF","2022-06-28","2023-04-05","BirthGroup"
"Mercury","LT","2014-12-18","2015-07-09","BirthGroup"
"Mevrou","BD","2012-10-29","2016-06-07","BirthGroup"
"Mhaori","KB","2016-11-17","2019-12-30","BirthGroup"
"Michaeljackson","RC","2010-12-08","2010-12-11","MigrationGroup1"
"Middag","BD","2015-11-09","2016-01-20","BirthGroup"
"Mielies","BD","2010-11-16","2023-04-05","BirthGroup"
"Mimiek","BD","2018-10-26","2020-08-19","BirthGroup"
"Miskien","BD","2021-11-19","2023-04-05","BirthGroup"
"Modjadji","AK","2011-10-31","2012-11-26","BirthGroup"
"Moesa","KB","2020-11-24","2023-04-05","BirthGroup"
"Mokcha","KB","2017-10-13","2021-09-04","BirthGroup"
"Mooi","BD","2010-11-09","2015-05-26","BirthGroup"
"Moonie","KB","2014-02-28","2015-02-13","BirthGroup"
"Moya","AK","2017-10-26","2019-11-16","BirthGroup"
"Naaldekoker","BD","2018-10-26","2023-04-05","BirthGroup"
"Naartjie","BD","2020-12-21","2021-12-12","BirthGroup"
"Nala","LT","2012-04-18","2015-07-04","BirthGroup"
"Namnam","BD","2011-04-07","2013-08-22","BirthGroup"
"Ncane","AK","2022-12-01","2023-04-05","BirthGroup"
"Ncoko","AK","2018-11-02","2023-04-05","BirthGroup"
"Ndawonya","AK","2016-02-08","2023-04-05","BirthGroup"
"Ndiki","AK","2017-10-16","2021-04-20","BirthGroup"
"Ndini","AK","2022-12-03","2023-04-05","BirthGroup"
"Ndondo","AK","2021-01-04","2021-11-27","BirthGroup"
"Ndonsa","AK","2012-11-02","2023-04-05","BirthGroup"
"Ndumiso","AK","2020-11-16","2023-04-05","BirthGroup"
"Nessie","KB","2012-08-01","2020-09-23","BirthGroup"
"Niese","BD","2010-10-31","2014-12-14","BirthGroup"
"Nihau","CR","2017-11-06","2023-04-05","BirthGroup"
"Nihiru","CR","2021-11-09","2023-04-05","BirthGroup"
"Nirtjies","BD","2015-11-06","2016-01-25","BirthGroup"
"Nkosikasi","AK","2010-11-11","2023-04-05","BirthGroup"
"Nkunzi","AK","2020-11-19","2022-01-13","BirthGroup"
"Nooiens","BD","2014-11-28","2023-04-05","BirthGroup"
"Nooit","BD","2021-11-09","2022-02-16","BirthGroup"
"Nora","CR","2021-07-28","2023-04-05","BirthGroup"
"Nuclides","BD","2019-11-04","2021-06-30","BirthGroup"
"Nugget","KB","2021-10-26","2021-05-27","BirthGroup"
"Nul","BD","2021-10-06","2022-03-22","BirthGroup"
"Numbies","BD","2010-11-09","2023-04-05","BirthGroup"
"Nurks","BD","2012-10-01","2023-04-05","BirthGroup"
"Nyala","AK","2021-11-05","2021-12-06","BirthGroup"
"Nyanga","AK","2014-10-31","2021-12-04","BirthGroup"
"Oahu","CR","2015-01-12","2018-07-18","BirthGroup"
"Oase","BD","2022-11-19","2023-04-05","BirthGroup"
"Obsessie","BD","2017-10-24","2023-04-05","BirthGroup"
"Oerwoud","BD","2018-11-09","2023-04-05","BirthGroup"
"Olyf","BD","2022-11-15","2023-04-05","BirthGroup"
"Oortjies","BD","2015-11-20","2023-04-05","BirthGroup"
"Otter","BD","2022-12-26","2023-04-05","BirthGroup"
"Oulik","BD","2010-11-09","2023-04-05","BirthGroup"
"Ouma","BD","2020-11-18","2021-12-08","BirthGroup"
"Padkos","BD","2021-10-27","2022-05-06","BirthGroup"
"Palmela","NH","2020-12-17","2023-04-05","BirthGroup"
"Pandora","IF","2022-06-28","2023-04-05","BirthGroup"
"Pannekoekie","BD","2010-12-01","2023-04-05","BirthGroup"
"Papp","BD","2020-11-04","2023-04-05","BirthGroup"
"Paris","NH","2010-11-08","2015-08-18","BirthGroup"
"Patlansky","RC","2010-12-28","2011-11-25","MigrationGroup1"
"Persephone","IF","2022-11-25","2023-04-05","BirthGroup"
"Pieperig","BD","2013-01-18","2023-04-05","BirthGroup"
"Pikkewyn","BD","2022-12-10","2023-04-05","BirthGroup"
"Pink","RC","2010-12-13","2011-11-25","BirthGroup"
"Pitcairn","CR",NA,"2015-03-01","MigrationGroup1"
"Plesier","BD","2014-10-20","2016-02-27","BirthGroup"
"Pofferthie","BD","2018-10-26","2019-12-04","BirthGroup"
"Poppie","BD","2020-11-12","2023-01-31","BirthGroup"
"Potjie","BD","2013-11-23","2022-04-21","BirthGroup"
"Praia","NH","2013-11-19","2023-04-05","BirthGroup"
"Pratella","NH","2018-11-17","2023-04-05","BirthGroup"
"Pretoria","NH","2011-12-16","2023-04-05","BirthGroup"
"Primavera","NH","2021-10-28","2023-04-05","BirthGroup"
"Prinses","BD","2010-11-09","2017-05-18","BirthGroup"
"Pruin","BD","2022-11-22","2023-04-05","BirthGroup"
"Puolka","BD","2015-12-28","2023-04-05","BirthGroup"
"Purper","BD","2021-11-05","2022-02-16","BirthGroup"
"Puymerl","NH","2018-11-07","2019-07-29","BirthGroup"
"Queen","RC","2011-01-19","2011-01-19","BirthGroup"
"Rabat","NH","2016-11-23","2023-04-05","BirthGroup"
"Rafaela","NH","2021-11-02","2023-04-05","BirthGroup"
"Redelik","BD","2014-11-10","2023-04-05","BirthGroup"
"Redhot","RC",NA,"2023-04-05","MigrationGroup1"
"Reenboog","BD","2018-12-12","2023-04-05","BirthGroup"
"Regina","NH","2018-11-15","2023-04-05","BirthGroup"
"Rennes","NH","2013-11-15","2021-02-23","BirthGroup"
"Renoster","BD","2021-11-15","2022-11-25","BirthGroup"
"Reva","NH","2011-11-21","2021-02-23","BirthGroup"
"Rimpel","BD","2021-11-18","2023-04-05","BirthGroup"
"Rioja","NH","2017-11-03","2023-04-05","BirthGroup"
"Rishikesh","NH","2022-12-14","2023-04-05","BirthGroup"
"Rissiepit","BD","2011-04-26","2023-04-05","BirthGroup"
"Rivas","NH","2021-11-08","2023-04-05","BirthGroup"
"Rivier","BD","2020-11-24","2023-04-05","BirthGroup"
"Robben","CR","2015-09-29","2016-01-22","BirthGroup"
"Roeslare","NH","2020-11-19","2021-02-09","BirthGroup"
"Roma","NH","2010-11-08","2021-02-17","BirthGroup"
"Rooibos","BD","2022-12-17","2023-04-05","BirthGroup"
"Roslin","NH","2015-11-23","2021-02-23","BirthGroup"
"Rosyn","BD","2022-12-07","2023-04-05","BirthGroup"
"Rustig","BD","2017-10-21","2018-05-28","BirthGroup"
"Safari","BD","2014-11-03","2017-04-28","BirthGroup"
"Samoa","CR","2014-12-31","2018-07-18","BirthGroup"
"Sampion","BD","2021-11-22","2022-03-19","BirthGroup"
"Sari","BD","2017-09-30","2023-04-05","BirthGroup"
"Schnauzli","CR","2016-02-11","2018-04-07","BirthGroup"
"Selenge","KB","2012-08-10","2013-04-03","MigrationGroup1"
"Siele","BD","2012-10-01","2022-04-13","BirthGroup"
"Sirkus","BD","2017-10-21","2023-04-05","BirthGroup"
"Sitrus","BD","2021-11-18","2023-04-05","BirthGroup"
"Skemer","BD","2018-11-01","2023-04-05","BirthGroup"
"Skhumbuzo",NA,"2021-06-15","2021-06-19",NA
"Skin","RC","2010-12-13","2010-12-13","BirthGroup"
"Slang","BD","2021-11-09","2022-04-27","BirthGroup"
"Sma","AK","2010-12-18","2012-01-25","BirthGroup"
"Smashy","CR","2015-06-16","2018-04-07","BirthGroup"
"Snortjie","BD","2011-04-19","2019-11-07","BirthGroup"
"Spampounkoeki","BD","2018-11-01","2019-12-03","BirthGroup"
"Spanspek","BD","2020-11-24","2021-05-18","BirthGroup"
"Spek","BD","2021-11-13","2022-11-31","BirthGroup"
"Sumbawa","CR","2015-01-19","2015-02-24","BirthGroup"
"Tanganika","KB","2012-03-13","2015-10-22","BirthGroup"
"Tannie","BD","2010-11-26","2010-12-24","BirthGroup"
"Tere","LT","2014-05-30","2015-03-10","BirthGroup"
"Tiki","CR","2021-11-30","2022-07-26","BirthGroup"
"Timber","CR","2017-10-16","2023-04-05","BirthGroup"
"Tonga","CR","2015-01-06","2017-02-14","BirthGroup"
"Tortuga","CR","2015-07-22","2020-07-18","BirthGroup"
"Udine","NH","2022-11-30","2023-04-05","BirthGroup"
"Udupi","NH","2021-01-19","2023-04-05","BirthGroup"
"Ulaka","AK","2010-12-18","2013-09-14","BirthGroup"
"Umnak","CR","2015-02-11","2017-02-17","BirthGroup"
"Uppsala","NH","2010-11-08","2023-04-05","BirthGroup"
"Uvac","KB","2012-08-01","2015-02-13","MigrationGroup1"
"Valerie","LT","2012-09-24","2015-05-21","BirthGroup"
"Vascorossi","RC","2011-09-29","2011-11-25","MigrationGroup1"
"Venezia","NH","2011-02-19","2010-10-31","BirthGroup"
"Vesuvio",NA,NA,"2022-12-08",NA
"Watnou","BD","2011-12-09","2013-01-24","BirthGroup"
"Whidbey","CR","2016-10-01","2023-04-05","BirthGroup"
"Wierdo","RC",NA,"2023-04-05","BirthGroup"
"Xaixai","NH","2010-12-03","2015-10-27","BirthGroup"
"Xalapa","NH","2013-11-20","2023-04-05","BirthGroup"
"Xativa","NH","2022-12-07","2023-04-05","BirthGroup"
"Xenia","NH","2020-11-03","2023-04-05","BirthGroup"
"Xian","NH","2012-11-05","2023-04-05","BirthGroup"
"Xinpu","NH","2018-10-28","2023-04-05","BirthGroup"
"Xinyi","NH","2014-11-14","2015-03-28","BirthGroup"
"Yakima","KB","2022-11-17","2023-04-05","BirthGroup"
"Yalu","KB","2013-02-09","2021-01-15","BirthGroup"
"Yamuna","KB","2016-11-23","2023-04-05","BirthGroup"
"Yaounde","NH","2011-01-18","2015-02-20","BirthGroup"
"Yara","KB","2017-11-11","2023-04-05","BirthGroup"
"Yellowstone","KB","2018-12-04","2023-04-05","BirthGroup"
"Yenissei","KB","2013-01-28","2019-10-26","BirthGroup"
"Yentna","KB","2022-11-14","2023-04-05","BirthGroup"
"Yodo","KB","2021-10-03","2023-04-05","BirthGroup"
"Yster","BD","2010-11-17","2011-02-12","MigrationGroup1"
"Yuba","KB","2022-11-19","2023-04-05","BirthGroup"
"Yukon","KB","2016-11-09","2023-04-05","BirthGroup"
"Zeus","IF","2022-06-28","Stillpresent","MigrationGroup1"
"Zinkwazi","KB","2014-10-01","2015-12-15","BirthGroup"
"Zuni","CR","2021-06-01","2021-04-16","BirthGroup"
"Babybog2012","NH","2012-10-18","2012-12-10","BirthGroup"
"Babygaga2013","AK","2013-10-24","2013-12-06","BirthGroup"
"Babyguat2021","NH","2021-11-02","2021-11-03","BirthGroup"
"Babyham2013","AK","2013-10-03","2013-11-10","BirthGroup"
"Babylima2018","NH","2018-11-29","2019-03-18","BirthGroup"
"Babylima2019","NH","2019-10-22","2019-10-26","BirthGroup"
"Babyness2015","KB","2015-11-09","2016-01-29","BirthGroup"
"Babynurks2018","BD","2018-11-14","2019-02-04","BirthGroup"
"Babyoerw2021","BD","2021-12-06","2021-12-12","BirthGroup"
"Babyouli2021","BD","2021-10-09","2021-10-09","BirthGroup"
"Babypotjie2019","BD","2019-10-25","2019-10-29","BirthGroup"
"Babypretoria2019","NH","2019-11-06","2019-11-06","BirthGroup"
"Babyrosl2020","NH","2020-11-03","2020-12-13","BirthGroup"
"Babywietnie2013","BD","2013-11-12","2013-11-12","BirthGroup"
"Babyzuni2021","CR","2021-11-11","2022-04-16","BirthGroup"
"Bboort22","NH","2022-11-15","2022-11-17","BirthGroup"
"Bbxian22","NH","2022-10-21","2022-10-21","BirthGroup"
"Alcatraz","Jacaranda","2018-07-20","2018-07-20","GroupSplit"
"Bari","Iceland","2016-04-13","2016-04-13","GroupSplit"
"Beminde","Intaka","2014-01-05","2016-06-15","GroupSplit"
"Bogota","Iceland","2016-04-13","2016-07-12","GroupSplit"
"Brasilia","Iceland","2016-04-13","2016-07-12","GroupSplit"
"Brisbane","Iceland","2016-04-13","2016-04-13","GroupSplit"
"Bushy","FirstLTsplinter","2015-03-02","2015-07-01","GroupSplit"
"Dagga","InBetweeners","2012-11-29","2013-12-23","GroupSplit"
"Feekie","InBetweeners","2012-11-13","2013-02-01","GroupSplit"
"Idwala","IFamily","2016-02-29","2016-06-29","GroupSplit"
"Ijinja","IFamily","2016-03-03","2016-06-29","GroupSplit"
"Ilonga","IFamily","2016-01-22","2016-06-29","GroupSplit"
"Imposter","LTsplit","2017-05-22","2023-04-05","GroupSplit"
"Inhlanhla","IFamily","2016-02-29","2023-04-05","GroupSplit"
"Inkwazi","IFamily","2016-01-22","2016-06-29","GroupSplit"
"Intaba","IFamily","2016-02-29","2016-06-09","GroupSplit"
"Jakarta","Iceland","2016-04-14","2016-04-14","GroupSplit"
"Jelly","LTsplit","2018-02-21","2018-03-03","GroupSplit"
"Jenny","LTSplit","2018-02-20","2018-03-03","GroupSplit"
"Jiamusi","Iceland","2016-04-13","2016-07-12","GroupSplit"
"Jillin","Iceland","2016-04-19","2016-07-12","GroupSplit"
"Jinka","Iceland","2016-04-13","2016-07-12","GroupSplit"
"Johannesburg","Iceland","2016-04-13","2016-06-25","GroupSplit"
"Kaiki","InBetweeners","2012-11-15","2014-08-30","GroupSplit"
"Koninging","InBetweeners","2013-01-07","2014-08-30","GroupSplit"
"Lhassa","Iceland","2016-04-04","2016-06-25","GroupSplit"
"Mbazwane","IFamily","2016-01-16","2016-01-16","GroupSplit"
"Noah","LTsplit","2018-02-20","2018-02-20","GroupSplit"
"Pearl","KBSplit","2015-12-15","2015-12-15","GroupSplit"
"Renee","LTsplit","2018-08-14","2019-08-21","GroupSplit"
"Rosemary","LTsplit","2018-02-21","2018-03-03","GroupSplit"
"Roxanne","LTsplit","2018-02-21","2018-03-03","GroupSplit"
"Rupert","LTsplit","2018-02-21","2018-03-03","GroupSplit"
"Suzy","FirstLTsplinter","2015-03-10","2015-09-01","GroupSplit"
"Talinn","Iceland","2016-04-21","2016-04-21","GroupSplit"
"Tipies","InBetweeners","2012-11-13","2013-01-31","GroupSplit"
"Troia","Iceland","2016-04-13","2016-07-12","GroupSplit"
"Victoria","FirstLTsplinter","2015-04-09","2015-11-01","GroupSplit"
"Vroutjie","Intaka","2014-01-05","2016-06-15","GroupSplit"
"Wietnie","Intaka","2014-01-05","2016-06-15","GroupSplit"
"Yoogali","Iceland","2016-04-19","2016-06-25","GroupSplit"
"Zaire","KBSplit","2015-12-15","2015-12-15","GroupSplit"
"Zankara","KBSplit","2015-12-15","2015-12-15","GroupSplit"
"Zara","Zfamily","2016-05-25","2016-05-25","GroupSplit"
"Zeia","KBSplit","2015-12-15","2015-12-15","GroupSplit"
"Babydag2012","InBetweeners","2012-11-29","2012-11-29","GroupSplit"
